,0
0,-317.0646452746668
1,-190.1995194161903
2,-144.1595004884475
3,-110.74233013881512
4,-109.88499855441043
5,-102.2156532480248
6,-124.89696979145586
7,-109.86014544979358
8,-104.5473650102314
9,-94.31845715940777
10,-94.74073966530686
11,-97.72742963157623
12,-90.66168301540704
13,-91.6634813150976
14,-89.37033497076023
15,-86.64739573172068
16,-86.18501991247368
17,-85.37158804864781
18,-84.99081016854227
19,-83.04572659694172
20,-81.89096940691564
21,-88.19824270116486
22,-89.88283107816567
23,-91.37235233741683
24,-90.50122939239517
25,-88.13048187104293
26,-85.16190279364682
27,-85.3059554153102
28,-87.84914726024876
29,-90.35454995717576
30,-90.37271705730835
31,-89.53547501046916
32,-88.60407207243448
33,-87.77701964071166
34,-88.85701542105627
35,-88.75482530205173
36,-89.0298034113762
37,-88.13831065776708
38,-85.9066643633285
39,-86.5391721064628
40,-85.76955056418134
41,-85.1277650322576
42,-83.18589903913544
43,-82.03392280560902
44,-80.92576737263977
45,-79.3371722631741
46,-78.51233918917691
47,-78.66241239378002
48,-77.54390643030008
49,-77.43263798032767
50,-79.67641302035048
51,-79.03379456187011
52,-81.5714680464163
53,-82.63419109992283
54,-85.66633406624317
55,-85.4476285250162
56,-86.86362018721135
57,-86.22694613812598
58,-86.25821968741343
59,-85.20862020301806
60,-85.9320845375512
61,-85.52057012032112
62,-84.87479380384033
63,-84.71462708401832
64,-84.16888957899522
65,-83.45493305152495
66,-83.47670990495322
67,-82.50701002249552
68,-86.19758598808262
69,-86.10041475451253
70,-85.08021709972745
71,-84.30345955933716
72,-83.67963363499156
73,-83.45268048480052
74,-82.88867080958528
75,-82.33282919348846
76,-82.77307429858696
77,-83.04520383562337
78,-82.57811656054515
79,-81.63555068616256
80,-80.69576362426487
81,-80.4785073347188
82,-79.58211777857886
83,-79.01458855020357
84,-78.6447669404524
85,-78.28951427128118
86,-78.02686104210441
87,-77.32985488006639
88,-76.60852501379695
89,-76.18656827452368
90,-75.60259242571803
91,-75.807338192233
92,-75.25185927077979
93,-74.95432782415287
94,-74.65221112380307
95,-74.66381817699694
96,-74.05510769475627
97,-73.6650985829676
98,-73.82328752856249
99,-73.43614320689743
100,-70.82208768796781
101,-70.60253201235095
102,-70.10921024182129
103,-70.16141244375413
104,-70.17420218126887
105,-69.82013048955586
106,-67.3651782975242
107,-68.28932575822228
108,-68.20976030411029
109,-68.37220247786729
110,-67.8591692197403
111,-66.69270788336794
112,-66.7177800019071
113,-65.75610756137337
114,-66.498879708032
115,-67.02863231767289
116,-66.63791570007578
117,-66.1064744750407
118,-65.70058230729228
119,-66.89247167409535
120,-66.73546696299003
121,-64.6200153125519
122,-64.19984265535571
123,-63.64042041112143
124,-63.74790490871509
125,-63.73649036208354
126,-63.749557629728315
127,-62.94155913688554
128,-61.855124801165275
129,-60.75377494471975
130,-60.34780968166985
131,-60.406559645945315
132,-60.268367741823184
133,-60.25073239400032
134,-59.26366083303754
135,-58.716817281621644
136,-57.85606607073476
137,-57.62637466211274
138,-57.75356937131408
139,-57.41618100118593
140,-57.689252814033836
141,-57.74466604967729
142,-58.16590709185499
143,-58.305139588439644
144,-59.024074605143866
145,-59.23154279525797
146,-58.99559387997799
147,-59.877720910899406
148,-60.37412625631251
149,-60.29004465617241
150,-59.99652369760574
151,-59.73385691543152
152,-58.05518358028494
153,-56.90041443669331
154,-54.48030060349325
155,-53.829610200530915
156,-52.42037816728196
157,-52.11803929749342
158,-51.41914164797263
159,-51.60712918636722
160,-51.373527655638625
161,-51.407618882032565
162,-51.647267776331894
163,-50.94207783467327
164,-50.70644028743723
165,-50.60681965482135
166,-50.547994272026465
167,-50.8264224270329
168,-48.23914569546384
169,-47.933669845596626
170,-48.117710992811546
171,-48.04819867472342
172,-48.35007385394374
173,-47.869964870471605
174,-47.7733758873562
175,-48.51208197275411
176,-48.024518027309604
177,-47.709757655537395
178,-48.11008622969659
179,-48.19343752404702
180,-48.39843918659598
181,-48.117236737074265
182,-48.41988472377206
183,-48.25058937528934
184,-48.18189429319722
185,-47.81939741088431
186,-47.59060785993889
187,-47.52099607641932
188,-48.67921167314862
189,-48.32098264353856
190,-48.49599487460312
191,-47.65215089442834
192,-48.31166337157686
193,-48.12974851230133
194,-48.25263495315305
195,-48.08044630856158
196,-48.439596786985355
197,-48.257331749902725
198,-47.49710723180383
199,-48.04435191758099
200,-47.977159942526875
201,-47.65563590026104
202,-47.64928366114511
203,-47.89515770047293
204,-46.97270305753425
205,-47.14825399028383
206,-47.11015854287045
207,-46.636515583679426
