,0
0,-37.179513311505296
1,-92.21590279459774
2,-70.33031057325938
3,-55.923054618875724
4,-45.74782085044696
5,-48.59593177252324
6,-42.330000012179106
7,-46.11680776727085
8,-57.40104689833793
9,-53.311681447593195
10,-56.9009445474513
11,-64.3111450992731
12,-59.93526413857258
13,-60.77866875586161
14,-63.73665676931935
15,-67.21987959289586
16,-75.25827226125185
17,-79.35472304298482
18,-86.25564629134435
19,-85.96291142855249
20,-82.71309418265103
21,-79.94423598611856
22,-79.872195188588
23,-79.72935197098093
24,-78.24136413775688
25,-78.95929789737411
26,-77.8938385089813
27,-75.17485229152416
28,-72.99549710177948
29,-71.72713437828789
30,-70.73329069298563
31,-68.64749576515345
32,-69.10852673137111
33,-69.33127122016036
34,-72.11763391446831
35,-74.1336698591499
36,-72.20137767595638
37,-71.07792838915537
38,-69.3862756034504
39,-71.85570880451162
40,-72.17104164859305
41,-72.19126577790777
42,-72.34728025157452
43,-71.32606110235943
44,-70.32747599977202
45,-74.6086918584726
46,-74.513484613811
47,-73.98510688391333
48,-73.80986947815215
49,-77.12859076512345
50,-76.0740601109792
51,-74.78751729560369
52,-74.59956632752782
53,-75.75133658173027
54,-74.93042725325789
55,-75.45299701097193
56,-74.29823618317698
57,-74.77418481708638
58,-74.0448744615576
59,-74.90757827618884
60,-74.3364638012974
61,-75.71238578502755
62,-75.91665507917637
63,-76.54517022627212
64,-75.97218151174508
65,-75.41898420187897
66,-74.72444840463368
67,-74.69596111306024
68,-78.42835297075469
69,-78.06980401800986
70,-77.22445487149713
71,-76.94182484917582
72,-77.15497304075825
73,-76.56028851659673
74,-80.14072998562882
75,-79.83079940265888
76,-80.32960873908712
77,-79.64525808060174
78,-79.152128005328
79,-78.71279437706524
80,-77.99901355468135
81,-77.4861925013005
82,-77.579398585948
83,-77.08375442180946
84,-77.04063639607385
85,-77.03383792776953
86,-76.56589698655465
87,-76.22890231340436
88,-77.34080885293912
89,-79.37734658875237
90,-78.8023221756517
91,-78.70874249607022
92,-78.62130549489595
93,-78.2643470846066
94,-77.9712508673389
95,-79.19957879824405
96,-78.55276816921119
97,-78.65450071394817
98,-79.8763174373261
99,-79.20561354008875
100,-79.62899121340384
101,-80.9034048414269
102,-81.97516394434705
103,-83.57246612918982
104,-83.82218036963677
105,-84.11076266957753
106,-84.5721815324937
107,-84.73408313865626
108,-83.56249601558238
109,-83.73803870772575
110,-84.01976523642932
111,-83.52701976165461
112,-84.24834018318758
113,-86.06524810325023
114,-85.61479345401955
115,-86.5718023575587
116,-85.13592237901639
117,-87.13510111468449
118,-87.10041871947993
119,-87.63612942894724
120,-88.23362607730864
121,-88.30879414777611
122,-88.6540403483684
123,-88.22491826170496
124,-88.38839945800053
125,-87.52157390235656
126,-87.23217332886588
127,-87.72906088883201
128,-87.86273093367485
129,-88.6117740904922
130,-88.7430574504884
131,-89.39842465005061
132,-88.61556757701608
133,-88.50394483925773
134,-86.87382960884017
135,-85.90229179497352
136,-86.17804329880931
137,-86.12781689216837
138,-86.2023663757604
139,-85.29632587967036
140,-84.68298811585211
141,-84.36006887671374
142,-83.88573201148586
143,-84.22577639556408
144,-84.41714149901483
145,-81.9148841839862
146,-81.89688827503792
147,-81.69786905414699
148,-81.38786497171708
149,-79.30703832263117
150,-79.27517942267386
151,-79.74250208736335
152,-79.17513568553619
153,-78.4292882449188
154,-78.53650944982427
155,-78.12385400545433
156,-78.20420713941152
157,-77.38726108019006
158,-78.01912052454848
159,-77.19595804902771
160,-77.0311835902739
161,-75.83521879174569
162,-75.07419640689686
163,-74.12246211215617
164,-74.20024428043455
165,-74.12720970830017
166,-73.86529665623596
167,-73.82419788331366
168,-70.73322073564704
169,-70.82919669835658
170,-70.83419325123891
171,-70.34963118338516
172,-69.94902479777039
173,-70.01119054423164
174,-66.98534503064654
175,-66.72515592127404
176,-65.8672247584887
177,-65.979075074282
178,-65.75278423106167
179,-65.8292889926774
180,-65.6751968691717
181,-65.51814011530459
182,-64.71562080332403
183,-64.65368302060489
184,-64.21497522919285
185,-63.548504545336655
186,-63.290317145746386
187,-62.975070848046464
188,-61.54451495387583
189,-59.78901596381735
190,-60.07338437450939
191,-60.407870790809305
192,-60.167239763917294
193,-60.873732737559884
194,-60.72503308885634
195,-59.05783902408526
