,0
0,-135.1129360913923
1,-109.29674240404148
2,-103.70904920691635
3,-94.82807520063483
4,-108.69185810234819
5,-98.20253887562846
6,-84.90218510311725
7,-90.55859352137453
8,-94.77715177578493
9,-98.04648750964533
10,-100.58567171221665
11,-96.31173549022337
12,-102.58681228802577
13,-97.18782552960101
14,-109.61070497698796
15,-110.99620699722793
16,-105.91022835315454
17,-107.65543638171867
18,-105.5352985864598
19,-103.78312905245821
20,-104.29070102405873
21,-100.15212542056071
22,-101.38723797205594
23,-98.04975704081585
24,-95.39800015905199
25,-97.57678823357126
26,-101.2989979760963
27,-106.93462855661755
28,-106.9227601180861
29,-106.90166290975569
30,-105.31005244680657
31,-103.64830301711514
32,-102.13670281678814
33,-99.85851907703776
34,-104.33255548174431
35,-103.00991782215944
36,-103.26597011693376
37,-103.30859723805743
38,-101.34059552402816
39,-99.3243994628132
40,-98.04463723594641
41,-98.60569551009583
42,-97.42066447600679
43,-98.72506936040108
44,-97.24634209990175
45,-96.84436300483235
46,-97.98401322308392
47,-96.1040048132794
48,-96.38223161438823
49,-101.50476645320148
50,-101.80138700253625
51,-103.58084627754562
52,-102.28594517776162
53,-101.76104152163121
54,-100.91865207099889
55,-99.95080082463707
56,-98.56852399519882
57,-97.11368887002976
58,-97.32231570742775
59,-96.9060228562267
60,-95.97048315387006
61,-95.3097562954975
62,-94.33501057294093
63,-94.43836837727552
64,-94.82118227065646
65,-94.68711085510466
66,-95.64145301464553
67,-94.66294200812452
68,-93.9743702743753
69,-94.13080890281677
70,-94.74336463838497
71,-94.81214735957418
72,-93.88434119847297
73,-93.62080165694701
74,-92.57242629949629
75,-91.43739151252693
76,-90.53793212413149
77,-89.6141124430255
78,-89.10420508584113
79,-88.35965191903637
80,-87.3438243931483
81,-87.44729606082883
82,-86.88669925816878
83,-86.81764207446597
84,-86.63769286233958
85,-85.6748204121808
86,-84.80084265118822
87,-84.47324197010711
88,-84.30579060863802
89,-84.40342867002802
90,-84.19566581736859
91,-83.8669047230793
92,-83.36983714669451
93,-83.50218554287454
94,-83.5789791987183
95,-83.32362871270686
96,-82.71200076472549
97,-82.07297683000714
98,-81.47345815208217
99,-80.96722003862483
100,-80.21030877074655
101,-80.03828702956913
102,-79.46936659783707
103,-80.0454788899218
104,-78.81585025811155
105,-79.07747199172795
106,-79.96349831307562
107,-79.12518812144792
108,-78.02132764048706
109,-76.9926487351547
110,-76.9386494498468
111,-77.87415340160581
112,-76.76869925230422
113,-76.55636358070188
114,-74.08914920337752
115,-73.16436986570243
116,-73.14307154865232
117,-72.7862160206303
118,-72.33676177536759
119,-71.81521604467605
120,-70.90920368887174
121,-72.12682061382395
122,-73.18187430805594
123,-73.59133931241328
124,-73.81980961246379
125,-74.00735025308099
126,-72.11440368371694
127,-71.88782703673036
128,-70.99373399819456
129,-70.54912804390325
130,-70.87945379799719
131,-71.0474584762615
132,-70.65969271004137
133,-70.7121265367057
134,-68.6896967289182
135,-68.82294677760993
136,-67.9909122059796
137,-68.71161888204013
138,-68.52747148318113
139,-68.4704921846105
140,-68.34578555255898
141,-67.93930048281769
142,-68.10737792012841
143,-68.5720265623945
144,-69.07282107554774
145,-68.48288568737836
146,-67.61985467563008
147,-68.03629333728523
148,-67.40571324636859
149,-64.62040728010766
150,-63.872656412102
151,-62.20193640986936
152,-62.862474984799064
153,-62.39449847507993
154,-61.974746179357574
155,-63.2048241599013
156,-63.742908009779796
157,-63.98999508371587
158,-63.469685010089414
159,-63.051205048084775
160,-62.91824004464293
161,-63.033991989297036
162,-63.46920282498347
163,-62.62665528028593
164,-61.60536121663554
165,-62.16277045062925
166,-60.672644263400315
167,-61.54728521774717
168,-61.83103637751037
169,-61.23341747806301
170,-60.480818786028486
171,-59.633492411459684
172,-60.85877179064564
173,-61.514796827235074
174,-61.70324720886025
175,-61.88099280549067
176,-62.17672100366577
177,-62.17920998695603
178,-62.437946912651675
179,-62.27781503762154
180,-62.423525158213295
181,-63.01305555311934
182,-63.1205080277583
183,-63.30104236851782
184,-62.70377890356803
185,-63.54601540313993
186,-63.88971060669146
187,-63.54736129203171
188,-63.38754163580594
189,-62.57288466436616
190,-62.37194140606567
191,-62.0943112478019
192,-62.510044394955614
193,-61.826003765384
194,-61.13841063390263
195,-61.814111461056726
196,-62.308058300879836
197,-63.05093539460369
198,-63.34009836954805
199,-63.32708394368352
200,-62.99613432720182
201,-62.817938245962104
202,-63.37210987436482
203,-62.637939273463914
204,-62.268305463780706
205,-61.81023693664987
206,-61.1629883042152
207,-61.08060635455601
208,-61.85904134005772
209,-61.70112420707953
210,-60.998642192627585
211,-61.48258815625029
212,-61.481104764571235
213,-61.84653724241862
214,-61.95991311373764
215,-62.619683839955
216,-63.09681801583867
217,-62.626181885178184
218,-62.88561240283279
219,-63.335323120606766
220,-63.37192269682374
221,-62.13332145010233
222,-59.92454114122247
223,-59.474951759821266
224,-59.66372027693212
225,-58.10507720085447
226,-59.12560048195798
227,-57.6182566898337
228,-57.49359420747539
229,-56.93184396526278
230,-56.054335640430246
231,-55.463604714853645
232,-55.73583778864791
233,-55.567194397733275
234,-55.45135484981931
235,-54.82684156537548
236,-54.70926378591961
237,-53.30928496581424
238,-53.342643053054054
239,-53.55881395491187
240,-53.31920521949327
241,-53.271779811632776
242,-52.73168805439175
243,-50.906147971903174
244,-50.28344225586181
245,-50.703180635660566
246,-50.32835863698181
247,-49.98359596711482
248,-50.90248983647615
249,-51.075916378722724
250,-50.9719298781281
251,-50.840244518175275
252,-50.09806700679967
253,-50.09787608190723
254,-50.381551254672814
255,-49.38730873193715
256,-49.73416370577535
257,-49.52591958519649
258,-49.398910870875255
259,-49.227619911612926
260,-49.79356127532661
261,-49.69376548180152
262,-48.9969724516731
263,-49.207231331029654
264,-49.375916520754515
265,-48.38298594369734
266,-49.585100879084024
267,-48.810608163711734
268,-48.75951695382533
269,-48.32022938983379
270,-48.09549471336459
271,-48.017546866696236
272,-46.67181370469677
273,-45.698757728747324
274,-47.03164018570878
275,-47.07830958411559
276,-47.23458434022782
277,-47.81011365063607
278,-47.17579566953448
279,-47.194928799668425
280,-48.559598730431475
281,-47.74419507914464
282,-47.38840664423245
283,-46.50623388553103
284,-46.745392514672574
285,-46.80519645710877
286,-46.94862805876158
287,-47.234020824776515
288,-47.72519583757658
289,-48.68214404624175
290,-48.383101904467495
291,-48.65795831680568
292,-49.63973805406172
293,-49.710247688614174
