,0
0,-127.16559479390096
1,-107.20144834944841
2,-100.45618593054739
3,-93.1783336762467
4,-107.56644357850601
5,-95.81267617175901
6,-83.02730841827758
7,-88.13071734062727
8,-92.13338848673558
9,-95.84237264772678
10,-98.76783201500125
11,-96.763487241958
12,-99.05493726028106
13,-99.62228939806154
14,-101.5855588237368
15,-104.54087015727777
16,-103.43588313609439
17,-103.6384174047161
18,-99.96735434074803
19,-101.10844009602411
20,-99.97718844592444
21,-96.6030072611135
22,-96.69836420901842
23,-94.31878523757526
24,-92.5902801998344
25,-95.3420539804478
26,-97.383428894844
27,-100.13965337495078
28,-102.20225780061311
29,-100.26742688890786
30,-99.54617702155014
31,-100.81602939552675
32,-99.02886032389495
33,-98.67286752498572
34,-107.87854529846908
35,-105.76613973109048
36,-109.92435390086894
37,-113.21971405130562
38,-112.11180510597721
39,-109.5755246477559
40,-107.64252291308516
41,-111.15400526903733
42,-109.68151954478837
43,-113.24432738202523
44,-111.8774188716687
45,-110.56049271657855
46,-109.94311552642327
47,-108.41293911591276
48,-108.1303721943461
49,-117.0111732676332
50,-115.64832657737023
51,-115.66436480063516
52,-116.47968161705961
53,-119.52766355980366
54,-118.33097374291319
55,-117.99627548488625
56,-117.0470765022883
57,-115.73822829492659
58,-114.97271547115503
59,-113.87707086866452
60,-112.42344345475598
61,-111.48514903076624
62,-110.95904108288188
63,-110.7585670281671
64,-109.93361116452408
65,-108.87468989939921
66,-108.37526061635391
67,-107.35673193651431
68,-106.00327546905501
69,-108.65076366735305
70,-111.27596563638564
71,-110.72933550049939
72,-110.16326751175264
73,-110.33036849971722
74,-109.38615260659047
75,-108.3358090660342
76,-107.37236927410328
77,-106.62082556014866
78,-105.58691627028247
79,-104.69257834000523
80,-103.42088770805395
81,-104.06656654315667
82,-102.97578407434429
83,-103.36162997414728
84,-102.80009836826417
85,-101.80600072703199
86,-100.70940760235312
87,-100.63073099331164
88,-100.06983294693404
89,-99.6718696681405
90,-99.3332184466818
91,-99.44416783867692
92,-98.77625830678474
93,-97.89954885000299
94,-97.2315007105892
95,-96.61379543614383
96,-95.87089217188415
97,-95.80613109935358
98,-95.17141810507636
99,-94.33751848009122
100,-93.57761757215842
101,-93.69781598249403
102,-93.00951666669846
103,-93.09447308669942
104,-91.92246019519321
105,-92.19488422275708
106,-93.47307201872276
107,-92.84646722840698
108,-91.69695657014906
109,-90.47515195777453
110,-89.56695361944777
111,-90.40014541576383
112,-89.57741579219984
113,-88.89496429021017
114,-87.99545682235365
115,-86.78423002655819
116,-86.09514232390868
117,-85.57814233324856
118,-85.66554990691259
119,-84.5184145994564
120,-83.98960855411477
121,-84.47188049642982
122,-85.2591321513198
123,-85.81070305471331
124,-85.67266725129724
125,-86.22705273040665
126,-84.94158173443735
127,-83.98536033611313
128,-83.21633311233452
129,-84.10328650485961
130,-84.20002235643562
131,-83.47103659044998
132,-83.1746887476959
133,-82.84027972839633
134,-79.69046088965666
135,-79.72425346810364
136,-77.90472438610006
137,-77.34019205736135
138,-76.8294184007899
139,-77.4275514482718
140,-77.1715590828868
141,-75.07042569616765
142,-75.15424779888467
143,-74.54690569482774
144,-74.71326373583395
145,-75.3904671093489
146,-75.75267885160083
147,-75.62697485173445
148,-75.44380994141092
149,-70.7006571324761
150,-70.79866409740858
151,-69.8310406149938
152,-70.97537921045523
153,-68.42847486465008
154,-68.24072633654478
155,-68.04089974187596
156,-67.81297078469322
157,-67.7716473479549
158,-67.59730829757905
159,-67.31797097440266
160,-67.2069095068006
161,-67.69073825324425
162,-68.00500300373508
163,-67.18537864951247
164,-66.65062473398154
165,-67.02734914916002
166,-66.39121375286985
167,-66.80945787154599
168,-67.2752688758066
169,-64.91325623077738
170,-62.61934847567591
171,-62.100317441722744
172,-62.46261905109628
173,-62.641994150473145
174,-62.78214933973041
175,-62.79185923253865
176,-63.98711840273144
177,-63.57573418109644
178,-63.90582686045887
179,-63.801943027755016
180,-64.01485896228644
181,-63.94660863517354
182,-64.15211114131364
183,-64.10367488400466
184,-63.750925241892055
185,-64.16728301392696
186,-64.25414366233609
187,-63.76430438766926
188,-63.71965080421678
189,-63.12376532977389
190,-62.70967915882224
191,-61.90467267965678
192,-62.6398451660922
193,-62.692718945908794
194,-62.843295527970234
195,-64.12839441768352
196,-64.39114365050996
197,-64.66198642257507
198,-64.59785485265147
199,-64.79618710246585
200,-64.66699803148371
201,-64.00846672996202
202,-65.94404699383105
203,-67.04561988432364
204,-66.91006444937118
205,-66.89822031934547
206,-65.93751118183067
207,-65.7605561946747
208,-66.26855885886677
209,-67.20547241846367
210,-67.54230977232467
211,-67.63657975244924
212,-67.76466464112045
213,-68.294115151909
214,-68.94522609430031
215,-69.25315577815236
216,-69.61495060333488
217,-69.44907479394638
218,-69.63074631939406
219,-70.21556338837186
220,-70.48670313653197
221,-69.83713777532007
222,-68.17708111744315
223,-67.41085397793842
224,-67.39102419563565
225,-65.26361158742854
226,-66.07362839011483
227,-66.21509466545129
228,-65.46172585280102
229,-64.16314131477026
230,-63.41390992600821
231,-62.90251625394518
232,-63.315672929838826
233,-63.32009455544914
234,-62.68759637393864
235,-62.37921696746379
236,-62.165621373783026
237,-60.581187425175806
238,-60.48849947061288
239,-59.97056864163239
240,-60.081790455764505
241,-60.28876090257553
242,-60.05142131946605
243,-58.128308610448585
244,-57.57473724908936
245,-57.4031323555371
246,-56.71562685432195
247,-56.53961886119977
248,-56.53512598187965
249,-56.44262240896595
250,-55.989106510833196
251,-55.903122956169
252,-53.5145673510101
253,-53.75919574109311
254,-53.882395137559094
255,-53.53174418655905
256,-54.46910342733502
257,-54.33201081001582
258,-54.40591853500087
259,-54.418614480969616
260,-54.71690979685433
261,-54.19546878282566
262,-53.34102269655241
263,-53.580300959457375
264,-54.016501044534486
265,-53.79727050912762
266,-55.18650974865098
267,-54.64443237537787
268,-54.719122202418404
269,-54.21093947658064
270,-53.88566455284186
271,-53.81886308307155
272,-52.78588158084975
273,-51.60050399896509
274,-51.94143632087534
275,-51.76658667050632
276,-50.705778318819455
277,-51.177437865213214
278,-50.66239647375969
279,-50.68404392459128
280,-51.491790034957766
281,-50.59878597697757
282,-50.35442591357703
283,-49.173442319162945
284,-49.409081885977365
285,-49.50988415021516
286,-49.95144461918797
287,-50.02139597674347
288,-51.37240701288258
289,-51.63481410662641
290,-51.576233325782574
291,-52.04468460845667
292,-51.94868717976136
293,-52.07871170614121
294,-52.18868266358588
295,-50.94101133345797
296,-51.4941502525932
297,-50.62483657125004
298,-50.97245611287102
299,-51.15419016759411
300,-51.22680451931197
301,-51.07510031948702
302,-50.14055514033839
303,-48.46715104949719
304,-48.86769332699515
305,-49.01404301631217
306,-49.44026109597672
307,-49.53511397653534
308,-49.78789992654734
309,-48.940860226419616
310,-49.00803228570979
311,-47.722003618571755
312,-47.27275101026017
313,-47.02613054313461
314,-46.390724269555186
315,-45.896970543603274
316,-45.61108834658134
317,-45.473290149100215
318,-45.017767453414834
319,-44.86905276468097
320,-45.513210604955475
321,-45.55335576133579
322,-45.717668030756265
323,-46.375731458394654
324,-46.35530046376682
325,-46.41529244124641
326,-45.59773379093508
327,-44.74991960502825
328,-45.374956847015255
329,-45.75639892906888
330,-45.7994965548579
331,-46.163879764130094
332,-45.76113051197298
333,-45.50860310545429
334,-45.55343508432787
335,-45.87386355668975
336,-46.162078590237414
