,0
0,-135.27967633960537
1,-119.71073874521502
2,-103.55386206751984
3,-97.74046734067448
4,-107.91471691210877
5,-95.854848812936
6,-82.91451962130591
7,-86.32476147730114
8,-91.95599692515992
9,-97.26705217364884
10,-101.90018349724534
11,-102.82367816800193
12,-103.02843622119643
13,-97.61823997700445
14,-108.39633107154023
15,-110.76527618612727
16,-105.62537100046642
17,-105.67672282069577
18,-103.37431700992157
19,-99.64491351297168
20,-100.34392364079775
21,-97.54517322878172
22,-100.00751126256773
23,-96.6529274575775
24,-94.52559473865594
25,-95.6402694379114
26,-98.9637705560297
27,-106.18148108795442
28,-105.88380930590411
29,-106.2154666066303
30,-104.5104040558893
31,-103.39281541388064
32,-101.47450455903855
33,-99.35787247280942
34,-101.782799595204
35,-100.24370987775873
36,-100.2596446590025
37,-99.99588768228448
38,-98.18570229907444
39,-96.67615279842948
40,-95.73947676753063
41,-98.28381922846962
42,-96.6227896081027
43,-100.09273988149417
44,-99.35976890807801
45,-98.78065530037529
46,-99.94336453807323
47,-98.8282044034521
48,-97.96787668466281
49,-101.04190091960618
50,-102.03035719487639
51,-103.74820511346078
52,-102.03198423727261
53,-100.5721022467537
54,-101.6919672603223
55,-100.29429389402397
56,-99.02240758827742
57,-98.17970798756186
58,-101.45765695564613
59,-102.0912938782992
60,-101.06950254767823
61,-102.40312191167074
62,-101.09817132275127
63,-104.42730168699536
64,-108.47598736420923
65,-107.21475053017669
66,-109.3129712647227
67,-111.4692828291323
68,-110.91182126528192
69,-110.86464098971084
70,-111.37686882061563
71,-113.62874285419674
72,-113.57990948754953
73,-116.77997097739376
74,-116.0283491029065
75,-114.89383149157177
76,-113.76650471835843
77,-112.64769106859424
78,-111.40015023805189
79,-110.16699003169049
80,-109.06106864355058
81,-108.48861826027081
82,-107.4764282038228
83,-106.65968449468396
84,-106.90294739326406
85,-105.85428218605276
86,-105.11772713018797
87,-105.04307807532996
88,-104.93753995522145
89,-105.99095804887891
90,-105.99295887512962
91,-105.40210816583341
92,-104.72165680713438
93,-103.82960322521586
94,-103.16671165119894
95,-102.28839717839121
96,-101.71470703908878
97,-100.85459539466115
98,-100.33932974529384
99,-99.70743977804352
100,-99.03498050947478
101,-98.31291365622083
102,-98.03005389872436
103,-98.46130704763462
104,-97.72640488437087
105,-100.90333851459954
106,-101.6152449892094
107,-100.78280025069029
108,-100.2451184398694
109,-98.93283762667468
110,-98.0386283511627
111,-97.69248135574361
112,-96.83710942493971
113,-96.72581138624766
114,-94.74619201582053
115,-93.64056613194957
116,-93.46166888158825
117,-93.55743275374472
118,-93.65644809821866
119,-93.37839426872556
120,-92.35137221163397
121,-94.87364464882758
122,-97.08674928815643
123,-97.48987996168592
124,-97.90216830411931
125,-98.40502464321736
126,-96.57594679516987
127,-95.66385978310575
128,-95.11952412104353
129,-94.53346768246816
130,-94.50384624191888
131,-94.23238049337506
132,-93.96901868784563
133,-94.05030584357468
134,-92.62723269039539
135,-94.01239791193876
136,-93.87706233815503
137,-96.41346649141856
138,-96.19756344938041
139,-96.45598324927946
140,-96.15305852796854
141,-95.54756938565623
142,-95.91540437458141
143,-95.69822852270849
144,-96.77224143081234
145,-96.09593972249779
146,-94.86202545032776
147,-94.67292209950054
148,-94.81075352879478
149,-93.78059937060404
150,-92.43872372973172
151,-90.59813399806394
152,-91.51428798474588
153,-91.527837434126
154,-89.94433071857188
155,-90.76582436072269
156,-91.68946069217901
157,-92.74161648453354
158,-91.5011068715217
159,-90.36423405099804
160,-90.21242301119
161,-89.13057191747883
162,-90.1561638821432
163,-87.22716928235013
164,-83.63204240801066
165,-86.73985251348948
166,-84.41354288591661
167,-82.4972796454962
168,-82.24177909477162
169,-81.47517831869335
170,-81.49313847916162
171,-79.27618961547779
172,-78.77598946459102
173,-76.36897967023587
174,-76.1595545518553
175,-76.6453430253825
176,-77.75710597581536
177,-77.53410155282103
178,-79.43584424956833
179,-79.52676146375293
