,0
0,-136.5099255497667
1,-109.79567538819
2,-102.53850795470827
3,-94.60930529663773
4,-103.251441942054
5,-93.15640916857096
6,-80.38362934273869
7,-86.23287979501947
8,-91.53492497985945
9,-96.22237092732203
10,-100.01909082083624
11,-96.71580338619388
12,-104.65823261200106
13,-99.26795551667901
14,-111.99484613950362
15,-114.29992371515704
16,-108.72099981856888
17,-109.18652321433642
18,-105.9710882486543
19,-102.37624328249206
20,-101.02573491781207
21,-97.59230279052544
22,-97.16206428951475
23,-95.36407073337845
24,-93.58472352879164
25,-98.79389741999458
26,-104.17097644584275
27,-111.24152774068645
28,-113.53338205416068
29,-113.0747840578228
30,-111.72667300855103
31,-109.69897230794905
32,-108.08862082572251
33,-106.57526626326803
34,-110.16003591864674
35,-109.2764284532189
36,-108.27724443175238
37,-107.63687439172844
38,-106.07582634100847
39,-103.86499376955484
40,-102.47881692872566
41,-104.33406089031827
42,-102.54246179850006
43,-102.71265318153227
44,-101.14125126026872
45,-100.61440587324452
46,-100.7871184337334
47,-98.919715736441
48,-98.02196870390762
49,-101.37005907399173
50,-101.7624451685123
51,-104.12950176767609
52,-102.26653984608056
53,-100.92679776160004
54,-100.60641476586594
55,-99.23112808525015
56,-97.82953216861175
57,-96.44224117094807
58,-96.64859763630936
59,-95.68951381060488
60,-94.47211049365195
61,-94.01895391335425
62,-93.24913056394834
63,-93.08066332730166
64,-93.21611212524509
65,-92.30511432400564
66,-92.40987116661728
67,-91.75074881776472
68,-91.03908548647095
69,-90.99662367792172
70,-90.94051898397586
71,-91.25190850708208
72,-90.4069146333142
73,-91.34154750704074
74,-90.29425421688897
75,-89.18495801011119
76,-88.41796709157104
77,-87.51271951576473
78,-86.93542111264293
79,-86.36172217449509
80,-85.4663121998284
81,-85.41194455534121
82,-84.71165975194774
83,-84.57362522155519
84,-84.22089030374939
85,-83.2940990267462
86,-82.39243320407377
87,-82.15172842758419
88,-81.6592454577579
89,-81.0841936255213
90,-80.87113113084025
91,-80.31948045124891
92,-79.82377258027465
93,-79.32102973893524
94,-78.93372465828709
95,-78.43632429822235
96,-77.83136799866848
97,-77.2566122490996
98,-76.69692338007947
99,-76.06446808721617
100,-75.29658559680101
101,-74.84115574734781
102,-74.06442081889477
103,-74.1626851810153
104,-73.4061584441872
105,-73.70710845234926
106,-75.42318646912024
107,-75.11943469321592
108,-73.90416015554635
109,-72.59558200487136
110,-71.66210673523676
111,-72.39954086369902
112,-70.75716394687666
113,-70.51347501058166
114,-67.94822346708375
115,-66.6873454188871
116,-66.65294482991526
117,-65.98435503947537
118,-65.71613066909501
119,-65.5018324541522
120,-65.0020408116098
121,-66.15029823636279
122,-66.89906609622783
123,-67.38450680451183
124,-67.28813022469546
125,-67.26231626786779
126,-64.88317900036769
127,-64.05645570188858
128,-62.54838001082885
129,-62.98364323622927
130,-63.00255575416523
131,-63.184722510541285
132,-62.693841322322534
133,-62.49232066814014
134,-60.916794631925605
135,-60.69198916281553
136,-60.313607059623195
137,-60.632692417245174
138,-60.236533307159554
139,-60.22894408248882
140,-60.12014071728693
141,-59.74854248945612
142,-60.048542311289786
143,-60.09599021467187
144,-60.656741026780416
145,-60.17941326711461
146,-59.94533627608766
147,-60.37397446713034
148,-60.657966305173474
149,-58.502712463148676
150,-57.651348482214615
151,-55.67797911777433
152,-56.84532855248971
153,-56.969081064363884
154,-56.27678121820091
155,-57.192772024552944
156,-57.79144154638706
157,-57.90430252377185
158,-57.35829406314676
159,-57.08636791535148
160,-57.268702334244026
161,-57.14423323889979
162,-57.60626356997647
163,-56.90014889030834
164,-56.00205107259057
165,-57.59580850522255
166,-56.651405623661404
167,-57.065477944603174
168,-57.54754874372514
169,-57.17052306959243
170,-56.87997362117037
171,-55.94634951000198
172,-57.02908573318057
173,-56.655398639216486
174,-56.90154654923571
175,-57.035955124454034
176,-57.33047726098208
177,-57.180312068398244
178,-57.83170783614806
179,-57.50445270281327
180,-57.5367806276449
181,-58.264684838259555
182,-58.29621743359072
183,-58.373335094090216
184,-58.062470923675534
185,-58.612446622511136
186,-58.84554803907853
187,-58.329892156120124
188,-58.445876304550005
189,-58.39481572514336
190,-57.98579465702404
191,-57.94014863899677
192,-58.620892867227646
193,-58.48651174071889
194,-58.37134279908726
195,-60.08523699908625
196,-60.747295753376555
197,-61.294983458801426
198,-61.58379523613859
199,-61.70820552120926
200,-61.53237544886117
201,-61.43202571254522
202,-62.45091194689557
203,-62.177793789403694
204,-61.69663504190404
205,-61.304735726754444
206,-59.613400370075986
207,-59.062975685696635
208,-60.09021279188396
209,-60.12063977705554
210,-60.40579175463763
211,-61.78969194922975
212,-62.07416240209152
213,-62.4824635354096
214,-62.51651543460435
215,-63.04283739736262
216,-63.7056807273973
217,-63.74829860427101
218,-63.98378228172094
219,-64.59546483884286
220,-64.59641995861736
221,-63.31839340573388
222,-61.80267983089756
223,-60.96472946322884
224,-61.00239191674001
225,-58.98318990180346
226,-59.88062294946353
227,-58.67635248431037
228,-58.45155760502206
229,-57.05259541663787
230,-56.36149580531645
231,-55.76402663424563
232,-56.099281456603805
233,-55.93080874518966
234,-55.721988238327576
235,-55.21651951843364
236,-55.15271498676864
237,-54.10574161788456
238,-54.14000796693196
239,-54.266573383791254
240,-53.94276266222563
241,-53.18277870603902
242,-52.78120792990407
243,-51.88223073093416
244,-51.11575427716573
245,-51.37576334283458
246,-50.6781345913006
247,-50.244870947608625
248,-50.71461641506808
249,-51.08093425179244
250,-51.01129034980673
251,-50.868651422491965
252,-50.368968235649646
253,-50.44030025976868
254,-50.73443652026964
255,-50.29441892675335
256,-50.80115680173746
257,-50.70429597375134
258,-50.64662760495425
259,-50.60133814891365
260,-51.2194049112094
261,-51.37474709573855
262,-50.72687317729091
263,-50.82280654730416
264,-51.189304958302024
265,-49.70292561847659
266,-50.993094406062866
267,-50.247947008617736
268,-50.14246224625191
269,-49.68073381760214
270,-49.594107579143504
271,-49.6254202388671
272,-48.38679204022521
273,-47.51476278599668
274,-48.88312085090077
275,-48.82542458053561
276,-48.8632820942334
277,-50.37175221526029
278,-49.44740058359376
279,-49.5297741164844
280,-49.95230673060786
281,-49.603659610099214
282,-49.444079249831105
283,-48.78426905035865
284,-49.021689796596284
285,-49.47784960814199
286,-49.60681399041343
287,-49.992666310177704
288,-50.777356308068256
289,-51.541634297556186
290,-51.39432151334096
291,-51.63425948386836
292,-52.09270206722313
293,-52.2481066899122
294,-52.6127448650503
295,-50.93934738590438
296,-51.10654645098618
297,-50.59018805905381
298,-50.82865217288223
299,-51.79115305673754
300,-52.2413523766321
301,-52.192901653381234
302,-51.6753125876664
303,-51.45412301754166
304,-53.23524469596296
305,-53.80036007973929
306,-55.50920114499577
307,-55.982741063720724
308,-55.54254968816721
309,-55.58682288083937
310,-55.10159608194524
311,-52.64807213627173
312,-52.1505248056689
313,-52.410157483947
314,-52.398916315399994
315,-51.893453799913196
316,-51.23855306411383
317,-51.16549746998178
318,-50.83097117446535
319,-50.50985612500271
320,-50.95976601204835
321,-50.941441372599904
322,-51.07898725309852
323,-51.57541139213693
324,-51.362864190926736
325,-51.16079232882064
326,-50.45327601428303
327,-49.54477505229792
328,-50.32822254982582
329,-50.74316130347724
330,-50.81092255567077
331,-50.900770470928045
332,-50.63163540883631
333,-50.965906361213435
334,-50.814396621453724
335,-50.775548500075814
336,-51.16303252809016
337,-51.23958922470892
338,-51.25685375340445
339,-51.0324665183611
340,-51.19565458165574
341,-51.182481086188744
342,-51.03151694833682
343,-51.57861138434
