,0
0,-108.70953307656767
1,-96.5006702596975
2,-92.92261128868888
3,-80.03334925243075
4,-84.29185219620135
5,-83.19311814465279
6,-82.89730748625804
7,-84.31390366908282
8,-85.74410831084663
9,-88.34728591816433
10,-92.17837578405316
11,-94.0350064314701
12,-93.01134266333541
13,-91.57643925529456
14,-92.01423506462827
15,-96.26867402322905
16,-94.26343000483585
17,-91.84974529182045
18,-93.14766617991877
19,-93.00237019299288
20,-93.15355487426767
21,-92.24919173285804
22,-91.24161344003933
23,-91.31572438665671
24,-92.43020460475005
25,-90.45406913751016
26,-90.03802954300025
27,-89.9144004265514
28,-88.70661746828367
29,-87.67466407750752
30,-88.21100895724837
31,-87.64330536943265
32,-87.12557003199649
33,-86.68443130346974
34,-87.39542160591986
35,-87.20213442213192
36,-87.14832395417841
37,-86.97720310785306
38,-86.34320809023754
39,-86.72306272169014
40,-86.54951016495107
41,-86.1221349910759
42,-86.14146011019908
43,-86.48102388426942
44,-85.61627818071631
45,-85.65929974348693
46,-85.58917540108712
47,-85.59544469537575
48,-85.45642493912473
49,-84.87334634615817
50,-85.32515722636764
51,-84.7810219284329
52,-84.62352111672851
53,-84.94015688499292
54,-84.74991913272927
55,-84.29131325910362
56,-83.8318610453749
57,-83.43668153246652
58,-84.01730138378713
59,-83.95350918148118
60,-83.72706644633601
61,-83.05606955251638
62,-82.92555588226195
63,-82.7910993358851
64,-82.78953452864779
65,-82.5050997272888
66,-82.63646524133021
67,-82.99019688761518
68,-82.82564377716675
69,-82.8555991006672
70,-82.6300617457003
71,-82.67399361438024
72,-82.47871049153144
73,-82.68708189573178
74,-82.83000021125223
75,-83.00765348135555
76,-82.96453056325778
77,-82.64044787670092
78,-82.99958659527152
79,-82.80898654193852
80,-82.25611976588893
81,-82.48182429874998
82,-82.15998203694548
83,-82.37042671875743
84,-81.7475978593326
85,-81.52992317533412
86,-81.29627191479317
87,-81.00911672328166
88,-80.74381418044675
89,-80.91637670184159
90,-80.91053487127544
91,-80.79203317425588
92,-80.74712546277993
93,-80.84799976703862
94,-80.80552289128956
95,-80.90265740355052
96,-80.84123547279118
97,-80.74882014403735
98,-80.33734042556539
99,-80.24988817978992
100,-79.54624243732628
101,-79.28386288384495
102,-79.03429338946499
103,-79.42122369639873
104,-79.11028666404168
105,-79.13308986084809
106,-78.93935635810516
107,-78.81591486832346
108,-78.58056403353143
109,-78.43130049211224
110,-77.74659789509329
111,-77.08188539036472
112,-76.8255882657721
113,-76.80518830589358
114,-76.80142674102416
115,-75.63232527432471
116,-75.85331165765926
117,-76.50092612606797
118,-76.41400171602918
119,-76.09699292366844
120,-76.09133989069926
121,-76.31703206235429
122,-76.44078734641408
123,-76.49459143101696
124,-76.46129841241589
125,-77.48544847183048
126,-77.69283415955171
127,-77.34872197794469
128,-77.70927865123741
129,-77.87982105934539
130,-77.65226919623161
131,-77.58820464342222
132,-77.58524748746805
133,-77.79583991350938
134,-77.515081195086
135,-77.50722602616804
136,-77.44976865744049
137,-77.67720814904689
138,-77.84922692093795
139,-77.83339066857816
140,-77.85632414936444
141,-78.00233822723737
142,-77.85229575275294
143,-78.02674444467333
144,-78.34957269429296
145,-78.34095009826049
146,-78.3134175900893
147,-77.96815450764844
148,-77.83120238951489
149,-77.91156909614017
150,-77.70136634106693
151,-77.89367087719471
152,-77.84303539054127
153,-77.37138504563443
154,-77.13314227266085
155,-77.82389803432908
156,-78.0760911973959
157,-78.27351452343346
158,-78.08344228197677
159,-77.85318831439997
160,-77.82461535634455
161,-78.11151976084973
162,-78.01264676127802
163,-77.75902683318446
164,-77.787415102484
165,-78.1117719028171
166,-77.79181310388891
167,-77.39466908297405
168,-78.07215738376094
169,-78.4931281783928
170,-78.384648919107
171,-78.47297925107891
172,-78.57072541770366
173,-78.35480552723352
174,-77.8855305576322
175,-77.67084183936772
176,-77.7936241491427
177,-77.99789785421643
178,-77.87858425049579
179,-77.84210858957478
180,-78.13800706857677
181,-77.74564556834719
182,-77.96590040357006
183,-77.76969186958793
184,-78.22401302211213
185,-78.24474653448708
186,-78.29781600909565
187,-78.44554901940417
188,-78.60241921810619
189,-78.30961579245495
190,-78.00421932626271
191,-77.96884894648878
192,-77.83101799563751
193,-77.93593007498063
194,-77.90007620280161
195,-77.9441584678671
196,-78.65725715997348
197,-78.60399469597284
198,-78.94249634361519
199,-79.21476225050691
200,-79.55451410239283
201,-79.85479642962925
202,-79.75551043312788
203,-79.47970044831682
204,-79.93138587374125
205,-79.8588986263043
206,-79.76332051352321
207,-79.50270862795627
208,-79.67667197797081
209,-79.28793284908916
210,-79.26941983799772
211,-79.87748268358482
212,-80.09518638258436
213,-80.37652504732787
214,-80.1142938926443
215,-80.69137980266736
216,-80.78406508134934
217,-80.38811045927778
218,-80.33754092613856
219,-80.5509156151499
220,-80.20539754550045
221,-79.72324613339407
222,-79.75779135514041
223,-79.65844605816663
224,-79.19684582863091
225,-78.3498257542297
226,-78.02081753811024
227,-78.24402610838715
228,-78.18848426067512
229,-77.86230245669829
230,-77.8788591870079
231,-77.78036960219221
232,-77.81101686966744
233,-77.55011740473927
234,-77.5411395813168
235,-77.505806425206
236,-77.47699247751167
237,-77.17175101447516
238,-77.1018291260979
239,-77.0494057092174
240,-76.90220000573173
241,-76.59403072692317
242,-76.40362731616428
243,-75.81200575279954
244,-75.61560710079144
245,-75.37085915318927
246,-75.15060828946544
247,-75.23459789500357
248,-75.92846956056334
249,-76.1568393420579
250,-75.86825574576045
251,-75.89158119558608
252,-76.52596999975262
253,-76.75118874157135
254,-76.93222463646974
255,-76.68529740700805
256,-76.54144524937948
257,-76.51286161955043
258,-76.19637396251316
259,-76.35993562898503
260,-76.23492662622105
261,-76.4017663201475
262,-76.67522646890657
263,-77.27095599837537
264,-77.0944456537442
265,-76.7321076566738
266,-77.43032848534517
267,-77.44118325427529
268,-76.86546030568319
269,-76.32998595506602
270,-76.51070903367977
271,-76.0025156066381
272,-75.76965183738704
273,-75.63188277518684
274,-76.15723467505666
275,-75.95608775900335
276,-75.60697710755494
277,-75.5900615658441
278,-75.46988238720274
279,-75.71218762911265
280,-75.96029876504312
281,-75.98088856968619
282,-75.8878436395912
283,-76.03352004216836
284,-76.09217461992682
285,-76.23726594794338
286,-76.35544605391205
287,-76.12944198041119
288,-76.32588015068539
289,-76.68672285736535
290,-76.75021285331881
291,-76.68755507247852
292,-76.63642500203498
293,-76.20393228620581
294,-76.54071175299693
295,-76.16683040733345
296,-75.85905771943254
297,-76.25357422905044
298,-76.55289148040494
299,-76.26807768305567
300,-76.23557557317828
301,-76.1099502261247
302,-76.44943233024867
303,-76.55063845979592
304,-76.18728150486149
305,-76.43714195393596
306,-76.09931407010085
307,-75.97568098984944
308,-75.90730992747018
309,-75.93987020924473
310,-76.36225365012645
311,-76.74639261721195
312,-76.99680498894774
313,-76.65010403778071
314,-76.9017137934097
315,-76.61538961804528
316,-76.52989404000857
317,-76.42908588468003
318,-76.34385750441582
319,-76.2086887038309
320,-76.4891306726163
321,-76.71664383380264
322,-76.88690834923146
323,-77.02056002987035
324,-76.77627135421076
325,-77.14471217729827
326,-77.62661721312979
327,-78.01695708788637
328,-77.77707923596363
329,-78.75303579288563
330,-78.67172882886216
331,-79.26492649572953
332,-79.32012186599982
333,-79.76360185021392
334,-79.58544199522956
335,-79.64521600327917
336,-79.8311978775763
337,-79.94803506455098
338,-79.83756170840557
339,-79.43234421513256
340,-79.39673027643015
341,-79.60578032106349
342,-79.98286557351378
343,-80.17623728932053
344,-80.70111551954646
345,-80.71698543346825
346,-81.08606540154051
347,-81.17643603599659
348,-80.7598676981826
349,-80.88070322183252
350,-81.02987387439576
351,-80.98649027238851
352,-80.8512472341873
353,-80.73033939172655
354,-80.71337331766317
355,-80.33845133429836
356,-80.15608952029733
357,-80.08352159885344
358,-80.23565583497997
359,-80.39750283507527
360,-80.39061466444431
361,-80.31086670646691
362,-80.81138842421244
363,-80.58031750880195
364,-80.51905675588206
365,-80.93720356083357
366,-80.18452190817844
367,-80.54924244368186
368,-80.9494105024711
369,-81.11130123884509
370,-81.0905433292267
371,-81.51700286208576
372,-81.49573389100733
373,-81.53047411116171
374,-81.78246964238599
375,-82.27811363553751
376,-82.3324274013451
377,-82.6040438826583
378,-82.71209865361092
379,-82.50154662929474
380,-82.71245474379549
381,-82.98783546601837
382,-82.99456779358917
383,-83.19550701687622
384,-82.9816977611368
385,-82.78020198573235
386,-82.50780152186125
387,-83.08973307945195
388,-83.02598183746109
389,-82.68168755264973
390,-82.85325725404458
391,-82.98974112802335
392,-83.40113953087544
393,-83.65064248038144
394,-83.15552718048349
395,-83.25959420323662
396,-83.30610478729155
397,-82.98717517237137
398,-83.02543169040727
399,-82.91950761094645
400,-82.82738906412345
401,-82.87526190008411
402,-83.10682116911067
403,-83.37835371511451
404,-83.51729666726847
405,-83.29225197542843
406,-84.31222906413755
407,-84.49280287708402
408,-84.39231643267864
409,-84.38080309834142
410,-83.97996094821241
411,-83.00491980276858
412,-82.54936543051936
413,-82.6518175220097
414,-82.35063357613859
415,-82.43593165832131
416,-82.4321516013838
417,-82.83930001394997
418,-82.6427123585765
419,-82.88627270318253
420,-83.0512724871632
421,-83.12519501485386
422,-82.60107237899204
423,-82.25950412219801
424,-82.92097146280152
425,-82.60317453444935
426,-82.1624668301679
427,-81.88422877454447
428,-82.05339619329196
429,-81.75713184891714
430,-81.90930811502302
431,-81.60613651664761
432,-81.288041989893
433,-80.87026056540225
434,-80.75678304020786
435,-80.7203764857733
436,-80.31648183305599
437,-80.37197604904085
438,-80.54660597731767
439,-80.6966779536844
440,-81.23628087991
441,-81.508016773377
442,-81.41911852113786
443,-81.49513077792885
444,-81.10212790316795
445,-80.96922921970865
446,-80.77886804786507
447,-80.8182572500958
448,-80.96498717461827
449,-80.32178182737898
450,-80.18337956242834
451,-80.5658764887161
452,-80.54858243403517
453,-80.51885364392373
454,-80.49207881198544
455,-80.90874996197947
456,-81.49837665568067
457,-81.37090908426035
458,-81.24001172655247
459,-80.99894926734862
460,-81.38574375957585
461,-81.431530497438
462,-81.11585328986467
463,-80.91161212185224
464,-80.8335286886298
465,-80.84966111257172
466,-80.9044151365448
467,-80.96577589879726
468,-80.51524243593246
469,-80.39729063605931
470,-80.25432418452343
471,-79.99015010204778
472,-80.0569554856945
473,-80.09756403485612
474,-79.64948547129377
475,-79.10736684038537
476,-79.18003709946815
477,-78.765008751172
478,-78.2449651541383
479,-78.41638478269259
480,-78.04669058627373
481,-77.71876958677777
482,-77.56363282439818
483,-77.06574558924505
484,-77.553470238308
485,-78.35572545064593
486,-78.60579031836136
487,-78.25283560836274
488,-78.30421031011406
489,-78.72301202900603
490,-79.13453262435215
491,-78.86595305318323
492,-78.86555620497849
493,-78.65192630829341
494,-78.66403561824724
495,-78.75825324609889
496,-78.558832036858
497,-78.86483399701932
498,-78.30144559689498
499,-78.32615216091564
500,-78.53479345683195
501,-78.32278153725234
502,-78.05901393063193
503,-77.46285110610755
504,-77.40782385054672
505,-77.20715739606109
506,-76.88453224891742
507,-77.11616043755504
508,-77.03038143514301
509,-77.64533710336862
510,-77.85476525389045
511,-78.6041202864472
512,-78.59677609032136
513,-78.53595621067518
514,-78.54431742938476
515,-78.56441681697397
516,-78.52292542434967
517,-78.20947512513764
518,-77.90571218105377
519,-77.87207687163821
520,-77.7942020462148
521,-77.76189569905105
522,-77.85809597518686
523,-77.77922157549303
524,-77.45344564414728
525,-77.43969892363944
526,-77.50772088621673
527,-77.36922681399544
528,-77.4774699154326
529,-77.2749223299786
530,-77.08463850121993
531,-77.00407855543732
532,-77.37230046166944
533,-77.34308934596177
534,-77.6655327063434
535,-77.5520725980729
536,-77.52377214364753
537,-77.35422984570208
538,-77.12206903996643
539,-77.17269443291215
540,-76.90984291492413
541,-76.49232330135739
542,-76.74748237165697
543,-76.72421497795432
544,-77.22276540257826
545,-77.3124272801641
546,-76.93758698587364
547,-76.6960664612103
548,-76.26118373247185
549,-76.66623666053215
550,-76.77419379778782
551,-76.52229173805763
552,-75.9634076240881
553,-76.21360098599922
554,-76.40641525270458
555,-76.26723692996677
556,-75.70257715214132
557,-76.37664250147724
558,-76.52402374556296
559,-77.35670182148844
560,-77.09507771005008
561,-77.93082505807523
562,-77.4521301326763
563,-77.49710771332002
564,-77.67686353434077
565,-77.53710862497475
566,-77.75327988532955
567,-77.3741918720944
568,-77.4397701355694
569,-77.31973779363494
570,-77.26842272759954
571,-77.79200573773797
572,-77.83747663740975
573,-78.34903465375373
574,-78.12978921478447
575,-78.3243372830886
576,-78.47644156402858
577,-78.87562040689784
578,-78.84998982744709
579,-78.70425113096769
580,-78.83533930644755
581,-78.97350344878518
582,-79.77568407682672
583,-80.17489720416637
584,-80.04695351842066
585,-79.40804098510621
586,-79.50040700708674
587,-79.7623012335739
588,-79.59393771513741
589,-79.11550310713042
590,-78.40223115274011
591,-78.51452966987837
592,-78.40856566930155
593,-78.41066593204673
594,-78.43018754952313
595,-78.59134061560214
596,-78.07831027817177
597,-77.85863576004553
598,-77.9835411802235
599,-78.55886418988845
600,-78.82394159461175
601,-78.71846788345204
602,-78.72208829203345
603,-79.67916934548295
604,-79.27784811184407
605,-79.63394277915707
606,-79.50123811207587
607,-79.79952920924606
608,-79.99454061539313
609,-79.545898695973
610,-79.51904251549807
611,-78.90859957918171
612,-79.2934139345748
613,-79.98903269427497
