,0
0,-103.15286671831677
1,-101.57795476925187
2,-95.39940002032147
3,-83.56204950605202
4,-81.43842166843481
5,-80.7348188665956
6,-81.24496859229444
7,-84.56976828293148
8,-87.58901634942167
9,-91.00680642409654
10,-91.29575437427735
11,-92.178847638889
12,-91.13761787646789
13,-89.04318571491366
14,-87.81765340923978
15,-89.12460119637083
16,-87.67995985950675
17,-85.90856675141657
18,-87.45400363836
19,-87.28522243629551
20,-87.1110689170327
21,-88.6973326355278
22,-86.8987019159184
23,-86.87703505554111
24,-88.4940929593681
25,-88.57208795770515
26,-87.7765681355981
27,-87.37268710952516
28,-87.7742332908531
29,-87.00331180367799
30,-87.53893963247799
31,-89.01644884535013
32,-89.02071759272137
33,-88.86170125984586
34,-90.03735007571454
35,-90.1663128072596
36,-90.36621867222433
37,-90.3307767394473
38,-90.23030005746628
39,-90.54487860757575
40,-90.28731217147437
41,-90.42806063948387
42,-91.14593539420666
43,-91.7377289061507
44,-91.12076693278367
45,-91.18782202802113
46,-90.84515943962941
47,-91.09214189460761
48,-91.92355429087014
49,-92.72873150207772
50,-93.38323516173311
51,-92.93928453257737
52,-94.59313011465466
53,-96.05932170886882
54,-95.3959314819057
55,-94.8761271278009
56,-94.70691274401305
57,-94.13631277713363
58,-93.6973384054614
59,-93.56879567913718
60,-93.55078929789565
61,-93.01938387365226
62,-93.27500989245554
63,-92.96059718764053
64,-92.33966260920059
65,-92.01725392242376
66,-92.15325426581751
67,-92.2234954747292
68,-92.10306524473552
69,-92.49091639924791
70,-92.17128593747341
71,-92.14034564185037
72,-91.97784350684057
73,-91.70055848091441
74,-91.73400086030895
75,-91.38778729667258
76,-91.19151555751223
77,-91.02433113667568
78,-91.61545104625398
79,-91.4588528267383
80,-91.02489774249719
81,-91.66615674193794
82,-91.1057274779868
83,-91.23739801714116
84,-90.63912883606777
85,-90.73742035562123
86,-90.62984844115277
87,-90.57068701996224
88,-90.52447697998099
89,-90.26901091238436
90,-89.9712179327589
91,-89.7448200155675
92,-89.52333009280576
93,-89.13620362472189
94,-88.80222336194646
95,-88.94260167839276
96,-88.85206515123579
97,-88.89478444334412
98,-88.5933200551188
99,-88.52165564452454
100,-88.26510763129839
101,-88.08347540346526
102,-87.9443141267098
103,-88.33986730160255
104,-88.2675431095403
105,-88.84184574219384
106,-88.62382587207543
107,-88.14273990424718
108,-87.73531094921957
109,-87.45314327109463
110,-87.17034602789099
111,-86.62915471121057
112,-86.48638000739142
113,-86.84042639644639
114,-86.86896904180689
115,-86.54241746202634
116,-86.44372971049421
117,-86.8076495649122
118,-86.62809325344928
119,-86.71899754098409
120,-86.84235016304176
121,-86.49274308068362
122,-86.89563962987656
123,-87.39989782311693
124,-87.27873219705552
125,-87.2738559115292
126,-87.90331561493923
127,-88.08313276449182
128,-87.9611172393021
129,-87.85627461018062
130,-87.45242995332067
131,-86.93507212220584
132,-86.71910825260846
133,-86.5872370966394
134,-86.37943807427585
135,-86.36054833536
136,-86.1396429797439
137,-86.55761754251658
138,-86.32794241082748
139,-86.37514389169851
140,-86.2829622948382
141,-86.11825999908575
142,-85.92956786409057
143,-85.89536188956771
144,-86.26938956909197
145,-86.37073790413675
146,-86.29585061356927
147,-86.1045135642872
148,-85.61358928934082
149,-85.37712395117512
150,-84.90780846523239
151,-84.90020931666503
152,-84.68691372414536
153,-83.52323774979963
154,-83.47787565429735
155,-83.75506068005093
156,-83.8879389441827
157,-84.13540736558653
158,-83.98344198258346
159,-84.05032926030316
160,-83.83418701532159
161,-83.89896637961415
162,-83.42912933680132
163,-83.16783229810294
164,-83.31942608656514
165,-83.31783265987035
166,-82.77690219475265
167,-82.24689955160713
168,-82.60909276533658
169,-82.85204738017624
170,-82.55574663534766
171,-82.58895989804894
172,-82.71862503557308
173,-82.85313600084622
174,-82.52576826172684
175,-82.60088902558158
176,-82.69400458280278
177,-82.85918314646744
178,-82.4586229977442
179,-82.2568526144742
180,-82.52248617061761
181,-81.80056966464004
182,-82.01055783277558
183,-81.69727749702346
184,-81.82844577377438
185,-81.49662170373712
186,-81.42996827497775
187,-81.10281817359628
188,-81.3055480195946
189,-81.23711443345896
190,-81.16889506967705
191,-81.5090088427619
192,-81.46139974041807
193,-82.70760222990633
194,-82.96162201556751
195,-82.87661935704602
196,-83.94034353291812
197,-84.05862457505212
198,-84.55368330431291
199,-84.41519893901219
200,-84.22059993607004
201,-84.3069911198135
202,-84.43902830816641
203,-84.0809217199965
204,-84.3282063272983
205,-83.59514810598998
206,-83.62233841431991
207,-83.95857283446757
208,-84.0384720104654
209,-83.76441921909887
210,-83.89522616063954
211,-84.5310972508255
212,-84.83481695510017
213,-85.37920612557055
214,-85.49584957996014
215,-86.13375652824449
216,-86.44013493321175
217,-86.13270798880774
218,-85.93300784710293
219,-85.74548524991137
220,-85.36196718292682
221,-85.05735426947933
222,-85.11643156206712
223,-84.65539030944325
224,-84.07151941893127
225,-83.72029470550581
226,-83.40306990319682
227,-83.46819110957544
228,-83.48370438686406
229,-83.56085816448572
230,-83.56138056047868
231,-83.24187158751919
232,-83.48500192411099
233,-83.36129702885827
234,-83.1627893037858
235,-82.91806724199638
236,-82.96074615099192
237,-82.55322537338348
238,-82.53406498841474
239,-82.29074217231384
240,-82.07928389007002
241,-82.1527759110324
242,-81.68154091014264
243,-81.36861790507578
244,-81.04230985666372
245,-80.6850503081062
246,-80.63919206312252
247,-80.55833525433482
248,-80.8476385611521
249,-80.92434873860546
250,-80.86060142059512
251,-80.92519236107161
252,-80.44356849138445
253,-80.62789314868252
254,-80.70009569479784
255,-80.96628973553322
256,-80.84965204510901
257,-80.84077996586412
258,-81.03251478717851
259,-80.8304267359258
260,-80.64926819499382
261,-80.82963030805259
