,0
0,-108.70953307656767
1,-105.32794676770936
2,-96.96758711310791
3,-82.69843569884823
4,-83.17096772347256
5,-81.37698678602753
6,-80.13207982688105
7,-80.56435535018156
8,-82.9551707889212
9,-86.22055130906998
10,-86.79010907879969
11,-88.7755720586128
12,-87.5043762688876
13,-85.56230484946117
14,-84.92533160498978
15,-88.22870303694881
16,-87.07950335713133
17,-85.32782063276795
18,-85.68439042542161
19,-86.81672057543469
20,-86.27353576610886
21,-86.11161261087491
22,-84.35068619514662
23,-84.80836527286247
24,-86.77474977091042
25,-85.72597890263069
26,-85.63146445224291
27,-84.81719054920187
28,-84.2174706181077
29,-83.28817454284831
30,-84.4110362015959
31,-83.94361995640085
32,-83.65600886232738
33,-83.90433384015869
34,-85.15748177461072
35,-84.77450773526134
36,-84.6070054705309
37,-83.75449209022774
38,-83.9127410172361
39,-84.21999944882056
40,-83.81952710892406
41,-83.2768983303267
42,-83.31186291726162
43,-84.13300897934803
44,-83.21297922463599
45,-82.80523769278624
46,-82.84782378707112
47,-83.21957703405097
48,-83.13027551452396
49,-83.10379411314022
50,-83.77740720885454
51,-83.43196119684006
52,-84.75653404967522
53,-85.86845825713175
54,-85.70637252822561
55,-85.86334499760541
56,-85.49971218888099
57,-85.0924125925777
58,-85.37816539701588
59,-86.15535699300519
60,-85.74876489319455
61,-85.81467115982231
62,-85.47734207555807
63,-85.21679109502801
64,-84.56917646742455
65,-84.10150482663015
66,-84.21375294287319
67,-84.07978967464005
68,-83.8279345112213
69,-83.98323997645444
70,-83.60838143669531
71,-83.62830045917961
72,-83.67267172156329
73,-84.27505237954975
74,-84.12612478009235
75,-83.55460295246002
76,-83.36085253012321
77,-83.30525030769127
78,-83.48512309552784
79,-83.20950710212448
80,-82.89458833875584
81,-83.09958525231673
82,-82.83441811913619
83,-82.89181751854792
84,-82.85105484341409
85,-82.58543153644942
86,-82.38355210794941
87,-82.68941081351574
88,-82.62061164517796
89,-82.55009218036419
90,-82.30306997325815
91,-82.00033051376273
92,-81.71693115706637
93,-81.52808821543248
94,-81.33220111168409
95,-81.58725718117806
96,-81.68814576316448
97,-81.4591650419241
98,-81.10478983447783
99,-81.23657420009664
100,-80.59157048255835
101,-80.13238279740744
102,-79.89605000582233
103,-80.21125747088459
104,-79.86684766133646
105,-80.07135241503211
106,-80.2498162255353
107,-80.12226342216238
108,-79.9245607988531
109,-79.2817942295447
110,-79.3926979240843
111,-78.95369488418827
112,-78.93462646136298
113,-79.04374434191332
114,-78.90991703982635
115,-78.02410585722718
116,-77.96796745701509
117,-78.06954537708856
118,-78.37520230337029
119,-78.03403044409839
120,-78.12258888245363
121,-78.28259814731886
122,-78.56422273905358
123,-78.6248018780514
124,-77.93663670378241
125,-78.54593790866102
126,-78.63099397583245
127,-78.5314697074987
128,-78.96174257940649
129,-79.49996318627838
130,-79.29038066865087
131,-79.20376678917137
132,-78.98597527725308
133,-78.69200400350579
134,-78.14936437122051
135,-78.34212840378683
136,-78.24839610749815
137,-78.67389607836465
138,-78.6117410072345
139,-78.89012142232073
140,-78.68673185006867
141,-78.91176934937387
142,-78.72874207923873
