,0
0,-108.70953307656767
1,-105.32919466640125
2,-96.97055244879033
3,-82.69876039356468
4,-83.16718361275419
5,-81.37265230051312
6,-80.13398917179602
7,-80.58386113041041
8,-82.98064128829614
9,-86.24854117034916
10,-86.79977954303226
11,-88.72946596486025
12,-88.30123248184758
13,-86.64022705724311
14,-84.67928310451079
15,-87.26353782978515
16,-85.01844607356625
17,-83.09697081289362
18,-83.52554942034259
19,-86.3334778234836
20,-86.14379597477853
21,-85.98786486388506
22,-84.30862819624372
23,-84.49947420600417
24,-87.83250886695708
25,-87.2193648702527
26,-86.93296799586615
27,-86.43346822223528
28,-86.38246195584563
29,-86.32266098763697
30,-87.33328024194228
31,-88.40215292352042
32,-87.8436105628341
33,-89.88893529557714
34,-90.78081259791402
35,-90.34293252917202
36,-91.8243247438602
37,-91.41985053332704
38,-91.06822960877085
39,-91.37865243351541
40,-90.33589384456229
41,-89.68474985750984
42,-90.58475579304441
43,-92.30750902650284
44,-91.78758342915316
45,-92.7872700058747
46,-92.25209994994589
47,-93.16024355844958
48,-93.83585516931436
49,-94.34031105755231
50,-94.56241783939615
51,-94.4982761623086
52,-96.0217171943981
53,-97.52102404433002
54,-96.9468074900855
55,-96.85180100231092
56,-96.50328507498747
57,-95.77458274992861
58,-95.78114120889528
59,-96.44351770528418
60,-96.06111607110853
61,-95.84316871766502
62,-95.44496855143844
63,-95.17042025517712
64,-94.26990365100065
65,-93.76007310169737
66,-93.30663118217477
67,-93.11768367506446
68,-92.56446046838124
69,-92.60251589514824
70,-92.20688910020921
71,-92.16595898566096
72,-92.18393327686509
73,-92.56351645469506
74,-92.5716377572612
75,-92.05056742247052
76,-91.81384967566365
77,-91.61842400130438
78,-91.85371576493074
79,-91.63990221017758
80,-91.38337581116993
81,-91.25699897269901
82,-91.04236715578175
83,-90.95272012784582
84,-90.28383502722055
85,-90.0614968539555
86,-90.01865434666863
87,-89.64500725513601
88,-89.56200005421422
89,-89.29863436705128
90,-89.18596923644148
91,-88.86275581368706
92,-88.81681093489799
93,-88.72343060358612
94,-88.44853482350267
95,-88.55769843990583
96,-88.71827161267974
97,-88.732684345841
98,-88.41501719620013
99,-88.42299152212736
100,-88.130210614254
101,-88.10069289707678
102,-88.22661933628565
103,-88.53425915581649
104,-88.4979750118844
105,-88.74265013011595
106,-88.97877677872617
107,-88.87598621798784
108,-88.8343630414924
109,-88.39771046836331
110,-88.60484252012039
111,-88.55773611671326
112,-88.33484457634448
113,-88.42401218203237
114,-88.38658156768257
115,-87.66522223470182
116,-88.27488782989812
117,-88.43613290196629
118,-88.81389499607802
119,-88.08962624757389
120,-88.02792141794758
121,-88.153562851266
122,-88.50937677550544
123,-88.65725318711766
124,-87.68597550435425
125,-88.23723141395276
126,-88.47728901981301
127,-88.32189613959032
128,-88.5311504684746
129,-88.481040063554
130,-88.32099002147292
131,-87.85524828550135
132,-87.73006240327773
133,-86.81513474943378
134,-86.16789405728079
135,-86.25047679714451
136,-85.60532556825818
137,-85.81196534597711
138,-85.92740029202183
139,-85.97604733524493
140,-86.10173754690744
141,-86.36813914834529
142,-85.69594790940097
143,-84.870840490435
144,-85.17800983885307
145,-84.91984058592904
146,-85.3184524947564
147,-84.5389073417335
148,-84.05607048950795
149,-83.59936757249997
150,-83.61379361481093
151,-83.51841738892212
152,-82.83425125228095
153,-81.82247825789527
154,-81.63282568368996
155,-82.13540502006843
156,-82.43123343879462
157,-82.68930396475007
158,-82.67659952576255
159,-81.79311080380549
160,-81.62493915028558
161,-81.23402094818667
162,-80.93192390571599
163,-80.92984287856675
164,-81.61632930741429
165,-81.98927186767828
166,-81.98455625849873
167,-81.93355974185062
168,-82.28355555340964
169,-82.44929256058967
170,-82.39554634796265
171,-82.10926602562978
172,-82.4522826591979
173,-81.8670188656478
174,-81.52746469301485
175,-82.22694548737171
176,-82.33916707815686
177,-82.79329199900823
178,-82.64874700270204
179,-82.56576986421098
180,-82.52222670291013
181,-82.45957134293329
182,-82.47092103491151
183,-82.53924264373603
184,-82.90318489049967
185,-82.63665502499087
186,-82.21670968269468
187,-82.2866203657455
188,-82.14387915941808
189,-82.30480356055153
190,-81.90762496607977
191,-82.10229036986297
192,-82.2177426959167
193,-82.3947653806816
194,-82.6930863784702
195,-82.51027692061427
196,-82.73964704374126
197,-82.60586876819941
198,-82.7383728591144
199,-82.4035095222428
200,-82.26378259354117
201,-82.07769141317236
202,-81.84976602589676
203,-81.76957724489246
204,-81.76216295365438
205,-81.63960626815494
206,-81.32739631911159
207,-81.36134281746178
208,-81.25919170803463
209,-81.09912971644559
210,-80.77201268852899
211,-80.39032408749364
212,-80.56576654379079
213,-81.29796388334572
214,-81.57757586038528
215,-81.84199847466961
216,-81.29199620583279
217,-81.30351906308547
218,-80.92050254502101
219,-80.91026791741511
220,-80.61270910893224
221,-80.42268005698857
222,-80.61506469848797
223,-80.76457072059824
224,-80.8645333859656
225,-80.32572753593173
226,-80.24599582291972
227,-80.8790862720106
228,-80.50675799949222
229,-80.5856563631898
230,-80.37840557182011
231,-80.11545156883993
232,-80.28202413582831
233,-80.36937110761542
234,-80.84721716587659
235,-80.85477415123633
236,-80.83104133642448
237,-80.57306826014648
238,-80.3742470934158
239,-80.0759518647134
240,-80.05763327958142
241,-80.05353036746007
242,-79.89330702930386
243,-79.69268457055198
244,-79.5262513409112
245,-79.3875787554443
246,-79.08657852924124
247,-79.23458026504566
248,-79.85877691422462
249,-79.75974241927256
250,-79.23553955454256
251,-79.41978047304056
252,-79.37590796349907
253,-79.36110713737578
254,-80.04065783215988
255,-79.69766962430849
256,-79.32712431638312
257,-79.17300442696995
258,-78.84778511055383
259,-79.30138943045384
260,-79.20388659792953
261,-79.86144459266735
262,-80.78801554651281
263,-81.29427851363778
264,-80.97238236626202
265,-80.68011554735246
266,-80.89284722587612
267,-80.97624484373334
268,-81.01802365940155
269,-80.66474230009659
270,-80.69156036434447
271,-80.47864795983396
272,-79.85166260568614
273,-79.896928866691
274,-80.08274974061668
275,-79.57847466399443
276,-79.15608161440854
277,-78.79487018696453
278,-78.42639695727554
279,-78.59938182887645
280,-78.95278327941935
281,-78.94285817586696
282,-78.69887698048818
283,-78.37283562427989
284,-78.5602227977795
285,-79.09776357466097
286,-79.45437015984068
287,-79.41502216659995
288,-79.5393002378528
289,-79.35280889192883
290,-79.67231877194702
291,-79.28900406637322
292,-79.14964635552296
293,-78.65922209857163
294,-78.94431752759827
295,-78.67190093984442
296,-78.3355089328796
297,-78.46706390443205
298,-78.62250692500307
299,-78.4398291761063
300,-78.49791394091628
301,-78.46476650184916
302,-78.50090671175732
303,-78.78300045378296
304,-78.5000963476147
305,-78.92117750734288
306,-78.81922289593632
307,-78.73132266439283
308,-78.37171472988177
309,-78.6347918894522
310,-78.9242115507534
311,-79.34209126169429
312,-79.09477843720633
313,-78.38996541411726
314,-78.16474838571398
315,-78.04518216203904
316,-77.99756891023803
317,-77.7902838427756
318,-77.5909987079831
319,-77.34438691516789
320,-77.75270170155176
321,-77.8928661425775
322,-77.62550667503866
323,-77.05330360264637
324,-76.73741493799368
325,-76.54776924107972
326,-76.2330137577945
327,-75.79610231299984
328,-75.75578264569789
329,-76.1497597138734
330,-75.97914447071004
331,-76.44532125339876
332,-76.57831703249416
333,-76.62164735048053
334,-76.04548466149357
335,-76.06231024059036
336,-76.10698531951579
337,-76.06735099315507
338,-75.96948708089535
339,-75.93686129988183
340,-76.00317556165659
341,-75.66144102634203
342,-75.70058838160953
343,-75.61947051110553
344,-75.61240913686488
345,-75.53014297772602
346,-75.542252609523
347,-75.61873840497861
348,-75.74192596117095
349,-76.19318116440667
350,-76.53134186065853
351,-76.12351998852154
352,-76.17080484248339
353,-76.17932698517332
354,-75.78269278963992
355,-75.31552689097352
356,-75.2332520933754
357,-75.23142192657862
358,-75.30395855440175
359,-75.24133855509743
360,-75.25928943878765
361,-74.84812301755832
362,-74.18601677709236
363,-73.87043039004826
364,-73.95544833911293
365,-74.31898876578339
366,-74.27835253679237
367,-74.47059245717574
368,-74.1055471302761
369,-74.44799005338228
370,-74.84139829936287
371,-75.55065852183182
372,-75.69673836110638
373,-75.57867090958882
374,-75.44206102947432
375,-75.34807218173006
376,-75.66458742230793
377,-75.63283915217974
378,-76.11259195282823
379,-75.81921031261058
380,-75.73104048101362
381,-75.89397673976549
382,-76.15869527876798
383,-76.5370234434247
384,-76.32790469002538
385,-75.9597785491692
386,-75.7974223287853
387,-76.02318499080751
388,-76.12526536604325
389,-76.26480753235188
390,-76.08874542504174
391,-76.59000302852817
392,-76.58942496684006
393,-76.9121641352453
394,-76.33149827261673
395,-76.23991555832798
396,-75.76923465426779
397,-75.51680857450073
398,-75.18747954641874
399,-75.80795338596387
400,-75.69158330192093
401,-75.59299722406404
402,-75.78655049015194
403,-75.58662423667859
404,-75.79692579519156
405,-75.26348858442266
406,-75.62695538164327
407,-75.56311492458944
408,-76.03961009853633
409,-75.76303208484515
410,-75.63218539737387
411,-75.31040597657788
412,-75.43284793388834
413,-75.69870401074152
414,-75.58621684517608
415,-75.33958872968773
416,-75.89556762220165
417,-76.15579666458856
418,-76.60308023320985
419,-77.02914909300158
420,-77.35799021236507
421,-77.57352096011327
422,-77.89561647684688
423,-78.16180565781941
424,-78.77082270039251
425,-78.78829485684889
426,-78.7703593114878
427,-79.05885184752846
428,-79.46863010529397
429,-79.36236436404218
430,-79.47458144802933
431,-79.18960785683308
432,-79.02228072331928
433,-78.83651631655457
434,-79.11968483162654
435,-78.97793319892605
436,-78.92662175059152
437,-79.05840295636727
438,-79.18514540030282
439,-79.01364200821993
440,-79.06186611391686
441,-79.03982286046816
442,-79.43079605952403
443,-79.78986245055533
444,-79.77179601451267
445,-79.56331643053856
446,-79.33904789271796
447,-79.16931513819446
448,-78.5202853310434
449,-78.0221393832346
450,-77.6895896177118
451,-77.84548045705924
452,-77.43453746368458
453,-77.62541003841235
454,-77.60680719985379
455,-77.46104241274254
456,-77.87461675735122
457,-78.0024383311665
458,-77.88854154374519
459,-77.97123921225801
460,-79.20390694440604
461,-79.5623583179295
462,-79.59735909137363
463,-80.09108600127954
464,-79.81648802439237
465,-79.4935702732115
466,-79.38060752603704
467,-79.26831339405307
468,-79.2495212430928
469,-78.88968625954799
470,-78.80371469657148
471,-78.65627612247735
472,-78.31625835283117
473,-78.54112718340403
474,-78.6583597312364
475,-79.01877975446843
476,-78.87923976514077
477,-78.81637282866114
478,-78.53780810203017
479,-78.71714520066837
480,-78.42397933806221
481,-78.24795113251295
482,-78.26590894554747
483,-78.08792861086728
484,-78.00645205139698
485,-78.40360020289529
486,-78.7448621643006
487,-78.64879605889399
488,-78.49033710534833
489,-79.00951857222739
490,-79.44114721366344
491,-79.18997406716696
492,-79.13240560878847
493,-78.87904109436296
494,-78.86288561189913
495,-79.65128542217478
496,-80.31521607899528
497,-80.51387582984887
498,-80.63091295666918
499,-80.24877792982166
500,-80.44978394292308
501,-80.53734352668147
502,-80.35543547023666
503,-80.3249044232818
504,-80.50675728497426
505,-80.26303505457797
506,-80.0086730461868
507,-80.34677545066371
508,-80.10033101000666
509,-80.36647144119206
510,-80.34437775249172
511,-80.68862751708514
512,-80.4461396452401
513,-80.13772646949306
514,-80.45047978733824
515,-80.69037135385122
516,-80.2470138202808
517,-80.3755614170406
518,-80.18069307650738
519,-80.05093231423558
520,-79.56442157732053
521,-79.57490859427038
522,-79.00420432739975
523,-78.61016582695198
524,-78.53544970787992
525,-78.5422821527197
526,-78.49286002924879
527,-78.29881433344836
528,-78.31271840255847
529,-77.83859742122502
530,-77.60250718111553
531,-77.92810683305898
532,-77.96293423328396
533,-77.99621606524171
