,0
0,-7.289728162102866
1,-5.167496669843886
2,-4.925891569519618
3,-4.416719681484184
4,-4.192177723847104
5,-3.760145194788707
6,-3.5582842139845465
7,-3.381879775614691
8,-3.228484609413856
9,-3.4118209319219774
10,-3.5031937089633227
11,-3.4177786987524943
12,-3.466713302072986
13,-3.416452041323075
14,-3.422968714639194
15,-3.5140620462879886
16,-3.4136711316009816
17,-3.429469989446792
18,-3.3640974893944846
19,-3.407586522598418
20,-3.3562141213617003
21,-3.3662002709572394
22,-3.3420665299507024
23,-3.367700621460509
24,-3.382263881844724
25,-3.3810185968770736
26,-3.3250180189708316
27,-3.3306419619831273
28,-3.3999362289147133
29,-3.3443711821978206
30,-3.3910813151379577
31,-3.3903048103766085
32,-3.3816419956574273
33,-3.418063824977967
34,-3.4093929748611593
35,-3.386282787499721
36,-3.4117393060224668
37,-3.3970195081851386
38,-3.4491136818562427
39,-3.4994778055785067
40,-3.5031619537082284
41,-3.4866102438027853
42,-3.472412943905252
43,-3.4972963659942184
44,-3.5039867817102452
45,-3.4819108424033436
46,-3.4376189291334587
47,-3.422998306698245
48,-3.3885404174788936
49,-3.4526889273322534
50,-3.4567887487274613
51,-3.4620457496701045
52,-3.4616259927684006
53,-3.51135618032773
54,-3.527383392654086
55,-3.5261455581860424
56,-3.5270867994046724
57,-3.5026157802043927
58,-3.4788304264499255
59,-3.4583096100300676
60,-3.45975291776307
61,-3.4246460090586264
62,-3.431871475408111
63,-3.4301194124617784
64,-3.4327394115106884
65,-3.433206866064449
66,-3.4316191004439265
67,-3.467813915542608
68,-3.4619896341450644
69,-3.5983554741498867
70,-3.618973603114806
71,-3.6433139327791344
72,-3.719028498834845
73,-3.708979119949565
74,-3.7254475491851515
75,-3.713143798249737
76,-3.708392907594599
77,-3.748684352060569
78,-3.79041281791001
79,-3.7858876724646224
80,-3.77031317304549
81,-3.7523704802694886
82,-3.76692838482526
83,-3.748134173981672
84,-3.7970451116560686
85,-3.809200330241403
86,-3.839113832376402
87,-3.873413244767128
88,-3.9288913925459976
89,-3.9315603129515884
90,-3.941396933298912
91,-3.9591053706999033
92,-3.986817194427343
93,-4.014973404548072
94,-4.020041339962805
95,-4.088841884738198
96,-4.109577466766497
97,-4.108309616861011
98,-4.147545310664556
99,-4.14933373349517
100,-4.11189506204457
101,-4.103969558969235
102,-4.118719380399058
103,-4.121916857267653
104,-4.156969073782628
105,-4.206200963190705
106,-4.241448226076529
107,-4.27376678316238
108,-4.328018500975108
109,-4.3405204156523345
110,-4.329456555654122
111,-4.351662320598222
112,-4.338761269200047
113,-4.344434934324749
114,-4.356801591897625
115,-4.344662041551359
116,-4.42002949785512
117,-4.445867021476661
118,-4.446412072991243
119,-4.455507148458757
120,-4.480666159932979
121,-4.482147710978124
122,-4.4893049717619995
123,-4.47986043656719
124,-4.470030684795487
125,-4.485406360768826
126,-4.509592883458431
127,-4.502039883579558
128,-4.5004705715108715
129,-4.552406753759048
130,-4.5495084435547515
131,-4.5624448652632275
132,-4.58790009854424
133,-4.573905907459665
134,-4.574565041303505
135,-4.576773783064214
136,-4.578489433695415
137,-4.58070359710774
138,-4.564326214729195
139,-4.549727123490932
140,-4.542992549990856
141,-4.573621156489147
142,-4.5899343182501875
143,-4.649659235028795
144,-4.664983428471518
145,-4.681478808639033
146,-4.715664766542573
147,-4.7580549112986485
148,-4.784820779204143
149,-4.751437354575992
150,-4.756104623989126
151,-4.755672997793592
152,-4.7571244045754
153,-4.725539652497256
154,-4.715899324721645
155,-4.735372857656694
156,-4.726617189355481
157,-4.733826115117312
158,-4.744278393432566
159,-4.777819616005029
160,-4.795793217529532
161,-4.817177582730595
162,-4.854343182868861
163,-4.863287035809777
164,-4.884820328249186
165,-4.9115785189298435
166,-4.9361021365778
167,-4.906469713677982
168,-4.910732917270534
169,-4.869346843128589
170,-4.859785070752467
171,-4.834108910406397
172,-4.7763143934638705
173,-4.794517535291033
174,-4.794358051711842
175,-4.807517994657169
176,-4.8001848825736415
177,-4.769671567277376
178,-4.720509868422808
179,-4.719913041133753
180,-4.718671697868019
181,-4.756312597307445
182,-4.7394775051599245
183,-4.779555977475694
184,-4.748759804548852
185,-4.743300788366746
186,-4.712974124953534
187,-4.688021997165432
188,-4.654540871140583
189,-4.636540197837833
190,-4.607655145055218
191,-4.5721330266475295
192,-4.540488626999629
193,-4.516009404040853
194,-4.513126511735413
195,-4.475498005250897
196,-4.427316971376355
197,-4.425167766014261
198,-4.371792140999533
199,-4.365575297407396
200,-4.38242286342847
201,-4.38935454207147
202,-4.347940507297002
203,-4.353886548549908
204,-4.336890282265822
205,-4.32408955114863
206,-4.300251405267855
207,-4.282592100441247
208,-4.2405964705820125
209,-4.24800721246214
210,-4.2714200798542326
211,-4.2755024866761895
212,-4.272786587138053
213,-4.27078686840856
214,-4.246137797113893
215,-4.25611704864732
216,-4.2132343272552255
217,-4.189133657548245
218,-4.201896602619608
219,-4.192210290323379
220,-4.164803596487986
221,-4.153587259622276
222,-4.1651461409202
223,-4.157211620974715
224,-4.16711672966528
225,-4.148840045546075
226,-4.168638634449801
227,-4.184397016925081
