,0
0,-1.5996402236761877
1,-2.495393247356046
2,-2.4732284460355998
3,-2.352721528156489
4,-2.4903866664710845
5,-2.333576619815227
6,-2.1787367229043375
7,-2.322620838072844
8,-2.2796874622391825
9,-2.3861392344253494
10,-2.3900004397174164
11,-2.370247390147809
12,-2.364029582061541
13,-2.3033771335215225
14,-2.372459490609181
15,-2.4046449002813937
16,-2.364947841763883
17,-2.360280761201521
18,-2.35852509164486
19,-2.323012039510342
20,-2.430420965123359
21,-2.4129758464065274
22,-2.4727320283225107
23,-2.436664448510367
24,-2.427487844957342
25,-2.458193158725331
26,-2.476860502821159
27,-2.502532400245945
28,-2.5745736166759174
29,-2.6130635684888683
30,-2.572661729891987
31,-2.559267099275723
32,-2.5419691782669447
33,-2.5389154613760203
34,-2.5563658587617892
35,-2.556451012085547
36,-2.5630528363293728
37,-2.5658734632338955
38,-2.5889170907435055
39,-2.612271098266002
40,-2.60384876374127
41,-2.5988318341198218
42,-2.5700361152840183
43,-2.597283573112311
44,-2.5742648214717123
45,-2.5769680165116973
46,-2.5973611438075817
47,-2.586389529675722
48,-2.5725530101172756
49,-2.5923620253455226
50,-2.6152447819906315
51,-2.630559461931487
52,-2.5999343441857183
53,-2.6017047221727605
54,-2.6003234134657744
55,-2.614223348283932
56,-2.63184566241577
57,-2.6280733120423547
58,-2.6287219928381846
59,-2.623100039976564
60,-2.607735467331437
61,-2.6056077584852555
62,-2.597826305172118
63,-2.60115145623541
64,-2.585749334833243
65,-2.5990844136836277
66,-2.597523308620373
67,-2.5918175235497447
68,-2.5964978568073906
69,-2.606062424156064
70,-2.61480036547209
71,-2.6341044427604876
72,-2.617856969149514
73,-2.631626823465015
74,-2.6107404034844306
75,-2.628150471675
76,-2.6263850122125105
77,-2.6177671787502472
78,-2.5961208031700624
79,-2.602288996588903
80,-2.6019114051461893
81,-2.6099727130980965
82,-2.602872855226975
83,-2.6049029786165248
84,-2.594516908774805
85,-2.5840675711975094
86,-2.584220266350093
87,-2.5792814402371977
88,-2.5897043128193378
89,-2.5719532934471374
90,-2.5927219455187136
91,-2.5827068657419052
92,-2.5850251498584957
93,-2.576087764831036
94,-2.5771043468422654
95,-2.5714089898778805
96,-2.5615041874284032
97,-2.5549555020936503
98,-2.550545624650894
99,-2.543852061766592
100,-2.5394204667529197
101,-2.5152269509482603
102,-2.501997232350281
103,-2.498497095017842
104,-2.4912182694724048
105,-2.4982782637101604
106,-2.5027899440761927
107,-2.4818389734822075
108,-2.4821079100774406
109,-2.475025549841195
110,-2.4755718013870385
111,-2.47461935844267
112,-2.4772663571250377
113,-2.4737282528394564
114,-2.451586013201468
115,-2.454475197476488
116,-2.4597559783331224
117,-2.46127045349774
118,-2.4530181612067885
119,-2.4612068162684277
120,-2.4391662166416133
121,-2.4632901919026886
122,-2.4528335010155757
123,-2.463847372715602
124,-2.4559026887777837
125,-2.4595984393747936
126,-2.462212040554538
127,-2.4561042260575165
128,-2.4231603481956863
129,-2.402885747082561
130,-2.411838327147338
131,-2.4116715748969746
132,-2.4169031995535963
133,-2.4153289851521995
134,-2.4061155242093037
135,-2.403703994671761
136,-2.3961071204152864
137,-2.4057414843077614
138,-2.4019871016577357
139,-2.3856376772800636
140,-2.376393142714885
141,-2.3820293963568506
142,-2.404152339990499
143,-2.3895864275760914
144,-2.396379654315612
145,-2.3888659956067686
146,-2.381138155686015
147,-2.3768333013233938
148,-2.387898958068864
149,-2.3694951946811544
150,-2.365469088593486
151,-2.3547265064180043
152,-2.3906923107081424
153,-2.404347745500436
154,-2.3902906928791827
155,-2.3867247675387464
156,-2.3783767676522847
157,-2.3755177353810395
158,-2.374092766708371
159,-2.3681287952797585
160,-2.3730758194763224
161,-2.3700558917774632
162,-2.3758315113192565
163,-2.373830822086823
164,-2.3729625416028117
165,-2.3688351171090627
166,-2.3629466417189695
167,-2.3701800664818244
168,-2.370920297862242
169,-2.366371876710281
170,-2.3469758706392416
171,-2.3190891772568047
172,-2.324853031794611
173,-2.3249684558132717
174,-2.337716792086258
175,-2.3216480222992564
176,-2.3389973015563266
177,-2.345028007471368
178,-2.362248739879329
179,-2.3513018297104717
180,-2.3443201255787445
181,-2.347082156383844
182,-2.3471064757704525
183,-2.354933012628111
184,-2.357174079446355
185,-2.3658097906850175
186,-2.365792153605941
187,-2.3672541036384644
188,-2.3591244460008864
189,-2.380690432084169
190,-2.353700080829949
191,-2.3453194745642136
192,-2.329587259304202
193,-2.3322785207223444
194,-2.33710612204899
195,-2.335414641796584
196,-2.3525335681075847
197,-2.3659608565607018
198,-2.370551132947386
199,-2.357391575081307
200,-2.3692038293078146
201,-2.3827993690209026
202,-2.3969030204499076
203,-2.403589303371096
204,-2.3851482606763
205,-2.3999509337572755
206,-2.403434749686765
207,-2.416928400918605
208,-2.434906509462223
209,-2.4238891215020795
210,-2.4310851336994186
211,-2.4310110399168856
212,-2.433172156900679
213,-2.4492103841028317
214,-2.486107643059543
215,-2.48232635563179
216,-2.5158801492900578
217,-2.5166969650976094
218,-2.5180113841562446
219,-2.5388260660841557
220,-2.5562587313151384
221,-2.5354365004695567
222,-2.5271633360653225
223,-2.5148053521411033
224,-2.5340621140897808
225,-2.5193013954236774
226,-2.510248115317518
227,-2.5224238427137684
228,-2.528156828022003
229,-2.525879036218022
230,-2.5447209863109457
231,-2.5355440806844367
232,-2.5234454956079646
233,-2.526468913465901
234,-2.5249577447297487
235,-2.530768787951167
236,-2.5259138182808063
237,-2.508739824965549
238,-2.5002934669368546
239,-2.4920384579233654
240,-2.4921693484415433
241,-2.4991864289861025
242,-2.4869635040440605
243,-2.479002712238247
244,-2.4689240555415206
245,-2.487583624426084
246,-2.4675651638476386
247,-2.471845471173598
248,-2.4714438101700082
249,-2.4619569674202255
250,-2.4503953931504627
251,-2.4506485513188765
252,-2.4365464504593835
253,-2.4156183966427203
254,-2.422605528337869
255,-2.4099704503280233
256,-2.4218529634814967
257,-2.423020346284083
258,-2.4082026441011406
259,-2.4003703992370276
260,-2.396632923367405
261,-2.40710704592799
262,-2.405969598131552
263,-2.403807171650385
264,-2.4180857835331393
265,-2.40493060017463
266,-2.4314825743171458
267,-2.4287519347667446
268,-2.4249065284080005
269,-2.4122922155550435
270,-2.4267429389423576
271,-2.4306426075803684
272,-2.426085460041958
273,-2.406984709604766
274,-2.4123352425824085
275,-2.4256426870321155
276,-2.4147166130832383
277,-2.415015469559033
278,-2.4095462358222255
279,-2.4178548800126154
280,-2.4325044885036307
281,-2.420347049053629
282,-2.4252349459244913
283,-2.409364907501751
284,-2.4138102580052303
285,-2.421862542792221
286,-2.4335272196689015
287,-2.4357265391612812
288,-2.431214352549944
289,-2.428405294250212
290,-2.436175187059914
291,-2.4515284877604633
292,-2.4617815955163183
293,-2.455264565220063
294,-2.465075066245714
295,-2.4553567644355567
296,-2.454122012591982
297,-2.4395317283389413
298,-2.4597182636762414
299,-2.4677578147583206
300,-2.480403323396227
301,-2.4928649114432373
302,-2.505906571129107
303,-2.514485033920902
304,-2.537501674165847
305,-2.555019776832135
306,-2.572742554615551
307,-2.5724618690868515
308,-2.559295518104279
309,-2.5743372005663416
310,-2.5678791983760583
311,-2.5710835241645698
312,-2.568716599824803
313,-2.567095575725538
314,-2.546223934615088
315,-2.536198660826161
316,-2.5080925795898352
317,-2.499624252952894
318,-2.4991552455027417
319,-2.4727694451918434
320,-2.4667371246773153
321,-2.4696611927136662
322,-2.464494674564402
323,-2.473240346226149
324,-2.4597010320439345
325,-2.4546920692932765
326,-2.4459791362459513
327,-2.419798871199835
328,-2.440596348764217
329,-2.4624946932681393
330,-2.436094133206869
331,-2.453173700776459
332,-2.4647695088207926
333,-2.456577005000926
334,-2.4505002581923336
335,-2.451914483424217
336,-2.449675772590321
337,-2.4713466023441457
338,-2.4700575326668424
339,-2.473764154904869
340,-2.4731971832354844
341,-2.476401709324581
342,-2.47100131843588
343,-2.483631010960343
344,-2.495393833445602
345,-2.490982405410207
346,-2.5096893376815967
347,-2.5250667650743996
348,-2.521409948391326
349,-2.5429861379335703
350,-2.536372927833835
351,-2.528855830755013
352,-2.528228412602208
353,-2.551577722503473
354,-2.551497331527101
355,-2.549460292923136
356,-2.531607065352016
357,-2.536695521731065
358,-2.5497970383019553
359,-2.560085440328678
360,-2.5685301397843547
361,-2.5531163737485953
362,-2.5443241812921733
363,-2.538298035210411
364,-2.5351927101707816
365,-2.5384699270258935
366,-2.5111902412701372
367,-2.5187365558777284
368,-2.522828603201579
369,-2.5421524377097207
370,-2.5251818367403804
371,-2.528688108989249
372,-2.538822925173064
373,-2.541974294939802
374,-2.5378525615219534
375,-2.5200235866868383
376,-2.5054025667855466
377,-2.5051014745205076
378,-2.5313187995127775
379,-2.523042704530119
380,-2.5195669255911257
381,-2.532595271857754
382,-2.541485585804904
383,-2.5634490109700065
384,-2.576441048388619
385,-2.5629281911044552
386,-2.545149948179457
387,-2.550804918988647
388,-2.5519070850118264
389,-2.5426103726163483
390,-2.531261177713876
391,-2.5442263781300416
392,-2.545053536737997
393,-2.5484850649727537
394,-2.534458679740488
395,-2.5349459991603185
396,-2.519064635258725
397,-2.507012386658262
398,-2.4888548402515265
399,-2.508853534755289
400,-2.503733579403417
401,-2.5155161297781254
402,-2.501594704403446
403,-2.4956707829662292
404,-2.48359742243732
405,-2.444724377945837
406,-2.443516498187572
407,-2.44808274254907
408,-2.4592263609192475
409,-2.44468027030624
410,-2.4423932828497925
411,-2.434319827007031
412,-2.426584166947956
413,-2.415274682551945
414,-2.4084742409610045
415,-2.413366982586944
416,-2.4225873208257895
417,-2.442017047933935
418,-2.4464466617125744
419,-2.4568305497980165
420,-2.452832807849598
421,-2.449294237665636
422,-2.4676221475860514
423,-2.4712872160975112
424,-2.4829762189849873
425,-2.4952058225453104
426,-2.496962748664996
427,-2.5119844131305213
428,-2.499377614323905
429,-2.487130786129263
430,-2.4980893977026826
