,0
0,-8.950469518236806
1,-7.170707188474004
2,-6.512532476390717
3,-5.722869687993557
4,-5.898017589409779
5,-5.327650985295834
6,-4.56797701852899
7,-4.809391331051422
8,-5.103910100286833
9,-5.40041324121271
10,-5.438301002053397
11,-5.528358620483633
12,-5.65212415656117
13,-6.066950338324063
14,-7.0171843618718865
15,-6.931766780803031
16,-6.800600693102903
17,-6.723505070763142
18,-6.418570098790695
19,-6.7127431960899475
20,-6.402614001339734
21,-6.217307108770572
22,-5.977853166634708
23,-5.837375129636136
24,-5.870289231187486
25,-6.356343190623208
26,-6.63134972985863
27,-6.450407890074304
28,-6.804717191801069
29,-6.7483028182127205
30,-6.754991771933663
31,-6.766681025989989
32,-6.643626022849993
33,-6.572543390115351
34,-7.167276402837122
35,-7.090406934763176
36,-7.181761645291555
37,-7.158297685668102
38,-7.121417148965088
39,-6.992118850752969
40,-6.912942717596328
41,-6.930982041698645
42,-6.856352599412092
43,-7.032546006049774
44,-6.892283883992945
45,-6.8118966408876025
46,-6.751209080669657
47,-6.697631609267958
48,-6.721925482092979
49,-7.336764404985428
50,-7.306628674385999
51,-7.314574432924983
52,-7.361308710640782
53,-7.3463121232650295
54,-7.314708560702899
55,-7.274548328387498
56,-7.222781632582751
57,-7.104152564242197
58,-7.059406701099003
59,-7.196371654281761
60,-7.086251600011721
61,-7.087155676345747
62,-7.064846123550117
63,-6.962583118561828
64,-6.859809529629656
65,-6.8306953365933865
66,-6.762303290184727
67,-6.686519810870296
68,-6.687726081422588
69,-6.716937023042616
70,-6.844064165627547
71,-6.801347517715371
72,-6.805745242054442
73,-6.802578892953137
74,-6.735978284057712
75,-6.6616760489127
76,-6.585025109963132
77,-6.58768656346776
78,-6.535351966907115
79,-6.477387439122282
80,-6.432886439975502
81,-6.466144224435429
82,-6.412608958677897
83,-6.416561423672572
84,-6.344209784212987
85,-6.272602965469064
86,-6.215059604562606
87,-6.160982428155966
88,-6.096298571807432
89,-6.042342942621094
90,-5.97690559575714
91,-5.9573872145710425
92,-5.902076181963955
93,-5.866114508921265
94,-5.831986344415627
95,-5.7748616440783715
96,-5.874938451203931
97,-5.831974114711512
98,-5.787609055765528
99,-5.752333312226797
100,-5.694858823370186
101,-5.648521841686894
102,-5.603466263244404
103,-5.573798777497437
104,-5.574966367910454
105,-5.568116487418147
106,-5.651574740613529
107,-5.625366576866417
108,-5.586756588954448
109,-5.514920287218133
110,-5.460534127886765
111,-5.423174326035837
112,-5.360410140899678
113,-5.27203936428754
114,-5.155743659936973
115,-5.101073042416452
116,-5.061087358792846
117,-5.008135155680028
118,-5.008489878646485
119,-4.912874581626711
120,-4.942526774857721
121,-4.936524698893983
122,-4.9760608285052905
123,-4.9831906070405925
124,-4.917253061034666
125,-4.982436117944706
126,-4.855162368114584
127,-4.972090003904915
128,-4.909091971568796
129,-4.866803982959582
130,-4.8365135067149865
131,-4.770662286694217
132,-4.748624334205219
133,-4.756176134025859
134,-4.6496045056888065
135,-4.608511033876112
136,-4.51533409768287
137,-4.558662502519343
138,-4.525650572723855
139,-4.530869577839105
140,-4.591543717342878
141,-4.552890818517046
142,-4.540331041458472
143,-4.476139225097786
144,-4.504519864895862
