,0
0,-8.950469518236806
1,-7.171288509718903
2,-6.514179875682156
3,-5.724224953927374
4,-5.899015959275911
5,-5.328482884414328
6,-4.568725371897027
7,-4.810934967579013
8,-5.107193083791683
9,-5.403595193789711
10,-5.376584997316273
11,-5.393508899353531
12,-6.058124819035038
13,-5.717231611843201
14,-6.490109274789045
15,-6.643285301201228
16,-6.2603840416411956
17,-6.289300890357869
18,-6.169498353806029
19,-6.043621170892171
20,-6.018139344789446
21,-5.823302264548254
22,-5.881580620545111
23,-5.636516279280893
24,-5.576744778482317
25,-5.8584945848712
26,-5.934716262037449
27,-6.228201443159735
28,-6.285337162709275
29,-6.252733011207956
30,-6.148464429400238
31,-6.133717250146352
32,-5.970097276295018
33,-5.828994968905564
34,-6.348581556311064
35,-6.253890761000855
36,-6.30583522224937
37,-6.520177190918589
38,-6.358318176612953
39,-6.209434349408363
40,-6.160291230340012
41,-6.140441130405468
42,-6.1581298006073775
43,-6.369405256952859
44,-6.233592880272324
45,-6.143793449373754
46,-6.1714022180805035
47,-6.092377810252035
48,-6.262634689278571
49,-6.912824575899309
50,-6.783826458324507
51,-6.709927697130436
52,-6.766990601628258
53,-6.755827887385336
54,-6.643872810448639
55,-6.694164633272564
56,-6.662064934044582
57,-6.556800019345455
58,-6.450783441577721
59,-6.680021942565786
60,-6.644079590101505
61,-6.5375135513739915
62,-6.54642070413838
63,-6.478693728636719
64,-6.4912350600857724
65,-6.434420526031986
66,-6.386874948476447
67,-6.333196032462963
68,-6.247505014536094
69,-6.266102646939526
70,-6.406766130631219
71,-6.318471867631904
72,-6.319117945725162
73,-6.295627255408436
74,-6.216400252412542
75,-6.18766922662099
76,-6.143635687067429
77,-6.099303381617885
78,-6.0965324429365895
79,-6.091619125911797
80,-6.021283663993719
81,-5.972694392932922
82,-5.906504532750946
83,-5.9235702538501345
84,-5.8867622719222465
85,-5.826439386967142
86,-5.774022830956959
87,-5.786534848420691
88,-5.736507432677679
89,-5.719746027134578
90,-5.683118640518645
91,-5.6385077793377665
92,-5.5892718181735885
93,-5.564667527476408
94,-5.519111258727516
95,-5.466336250316587
96,-5.432556007228847
97,-5.380905860257848
98,-5.339718183324969
99,-5.296257699196085
100,-5.2553932516963915
101,-5.209813465081011
102,-5.165505895325407
103,-5.135372219918776
104,-5.090225370959744
105,-5.076114251205415
106,-5.125219168941369
107,-5.076546804759201
108,-5.020480135901409
109,-4.947620419755858
110,-4.9295095910129705
111,-4.89404833796175
112,-4.760694540884931
113,-4.758662477769395
114,-4.5916344078141815
115,-4.504531352821103
116,-4.507889958349177
117,-4.443234746255964
118,-4.414083454080416
119,-4.377793825220838
120,-4.346375850919156
121,-4.350909811158615
122,-4.293780757087483
123,-4.3357525808552735
124,-4.311378369326354
125,-4.234086717251543
126,-4.183015068380402
127,-4.154622607570391
128,-4.081170833335905
129,-4.041847019411724
130,-4.0491614970933805
131,-3.9944949444738413
132,-3.996973122734074
133,-3.9988841951530647
134,-3.801755813734524
135,-3.788453150637389
136,-3.7227086399612612
137,-3.594753588235692
138,-3.6095725031029535
139,-3.6364996988623464
140,-3.6328438592378696
141,-3.623884087666488
142,-3.5638183373671604
143,-3.453693534354278
144,-3.4934015642334235
145,-3.479492279611467
146,-3.4096176494882684
147,-3.406694891432623
148,-3.274623372234421
149,-2.9625396315182466
150,-2.9656056791679877
151,-2.9398030284125953
152,-2.8578607703126635
153,-2.8016772063214486
154,-2.812948109180175
155,-2.7764414350654425
156,-2.7403533123517807
157,-2.7394458368924313
158,-2.754143650977591
159,-2.555253545356941
160,-2.5263596739926784
161,-2.5467325200692112
162,-2.491872212238904
163,-2.482978012113234
164,-2.4315920481853097
165,-2.4656296353176823
166,-2.442105772249793
167,-2.4390043004571877
168,-2.4654195107882955
169,-2.407384652069488
170,-2.262865740303372
171,-2.2749314342247455
172,-2.286984471070888
173,-2.270278900583358
174,-2.2708658258966334
175,-2.239625678833849
176,-2.2148422143404103
177,-2.2027408919292624
178,-2.1656204922005684
179,-2.1199091080998365
180,-2.122329312286906
181,-2.158838815108185
182,-2.1613758161816627
183,-2.1169770454880394
184,-2.0894249886222886
185,-2.121156728701949
186,-2.1324462679432856
187,-2.0810464815635794
188,-2.0687436624400832
189,-2.0295028116533365
190,-2.008930646890878
191,-2.0047881911553715
192,-2.0447202600319416
193,-2.030960236132247
194,-2.029435696145657
195,-2.036885835783448
196,-2.054120203130661
197,-2.0669891084847847
198,-2.0826664645530384
199,-2.0830099330587397
200,-2.034439321663826
201,-2.0585139575919995
202,-2.066451495487469
203,-2.093033217826551
204,-2.080146082841582
205,-2.0766132367335155
206,-2.0345540314151545
207,-2.0272729830943446
208,-2.0483836051615403
209,-2.049647582704428
210,-2.048754716817898
211,-2.114963994658398
212,-2.1822944648379803
213,-2.2287704779806776
214,-2.2235113755616234
215,-2.2351213576691826
216,-2.270879611527538
217,-2.309962212939408
218,-2.32664472456791
219,-2.3428685493148595
220,-2.32530489266528
221,-2.306211951938624
222,-2.3137699288232607
223,-2.2774474006397325
224,-2.2799909940509036
225,-2.241675009546865
226,-2.265560893550467
227,-2.1688127395039856
228,-2.1643504166511978
229,-2.1597219731556274
230,-2.1428261055704776
231,-2.160270193150219
232,-2.1697050172373453
233,-2.1649579448784224
234,-2.1376094682376383
235,-2.132482702163047
236,-2.128196210127114
237,-2.1151444056654887
238,-2.1094747760548627
239,-2.120723718128623
240,-2.130546193562478
241,-2.0973169365028297
242,-2.0936575249427305
243,-2.0811066017347035
244,-2.0513310305979666
245,-2.0537676458251557
246,-2.0719993985853757
247,-2.0567783378917097
248,-2.0497739720099846
249,-2.0460275408260946
250,-2.0400451712215815
251,-2.0365457160521974
252,-2.0259665480192224
253,-2.0326419412375967
254,-2.0271141236161485
255,-1.9902174293877157
256,-1.988194946041155
257,-1.9957631770466981
258,-2.0092556939909754
259,-2.026482862643773
260,-2.0543439949345554
261,-2.035908312586894
262,-2.027280335865966
263,-2.044332041906893
264,-2.049143371316021
265,-2.00548426756246
266,-2.0166491037647667
267,-1.993116079114944
268,-2.0409828218388926
269,-2.0270435183846915
270,-2.0692988526169183
271,-2.0679734839810204
272,-1.9991752198435888
273,-1.9786021347363134
274,-1.9898095434516612
275,-2.002577015311644
276,-2.0103171804786113
277,-2.036756753730345
278,-2.0240620645316203
279,-2.0251770331241326
280,-2.033655442464424
281,-2.030565881704394
282,-2.0301425095138765
283,-2.013052051525114
284,-2.012779813411398
285,-1.9890701280113205
286,-1.9789714722830305
287,-1.9617869298568038
288,-1.9921718489400473
289,-2.018498949758783
290,-2.021201194499853
291,-2.014967928762821
292,-2.020441745652899
293,-2.0713128798070217
294,-2.089958341043282
295,-2.1043209523718898
296,-2.1186038933232245
297,-2.1120883823159264
298,-2.101325656758579
299,-2.095645717868263
300,-2.1008644155186897
301,-2.1013523051635543
302,-2.11365032289226
303,-2.0932468058191307
304,-2.126244262874953
305,-2.125742184825832
306,-2.157491529936465
307,-2.189153092421579
308,-2.24504440485764
309,-2.239334521197086
310,-2.2126027176076573
311,-2.138479504516838
312,-2.065942334757686
313,-2.0765571414757273
314,-2.076939296308514
315,-2.0669914413818784
316,-2.0337581055919394
317,-2.000334340177204
318,-1.98307231596798
319,-2.0251687397192386
320,-2.0456823327406592
321,-2.047027575780315
