,0
0,-138.2461534779863
1,-112.85199550274199
2,-104.04814593179121
3,-96.33952839415082
4,-105.91076666521117
5,-94.59824714310508
6,-81.5970967719502
7,-86.1413330785896
8,-91.03249637840025
9,-95.649248870461
10,-99.50353447687317
11,-97.06179343955772
12,-102.90078538714387
13,-100.76238753103895
14,-103.85473815283552
15,-104.45336056774889
16,-101.50368631706391
17,-101.77684894580368
18,-98.32318861071212
19,-97.51817393018872
20,-97.626234858623
21,-94.52918254434479
22,-95.45827188441115
23,-93.42281735736582
24,-92.27675460597433
25,-95.32649907601066
26,-101.17252260824836
27,-112.62144361359894
28,-115.85872708451012
29,-115.81243918246349
30,-114.15113903719319
31,-111.96357206848722
32,-111.12509775355122
33,-108.56376290110617
34,-112.22937483783161
35,-111.4740755656938
36,-113.60071805741174
37,-113.07589509149308
38,-110.68064892311497
39,-108.32058263948886
40,-106.83056187137105
41,-106.80542063381782
42,-105.43966094249915
43,-106.16005032622397
44,-104.48057937069012
45,-103.8586769779957
46,-104.87070711311918
47,-102.97667260417224
48,-102.15258422296749
49,-108.6835626804659
50,-108.68409772635728
51,-110.11471769227704
52,-109.22056369848598
53,-108.43237931545163
54,-107.361104592028
55,-106.35744086187471
56,-105.11540165010483
57,-103.91539400737348
58,-104.00774667521382
59,-103.44312752560487
60,-102.17155078300456
61,-101.93768070874876
62,-101.27170993496954
63,-101.46639933325423
64,-101.44306549459765
65,-100.83951970636005
66,-101.3288362303075
67,-100.02434326297518
68,-98.95006539849545
69,-99.44258384680627
70,-101.67391990295918
71,-101.88170933167984
72,-101.49933418136753
73,-100.61203089783058
74,-99.48634283832273
75,-98.25007045287077
76,-97.29146381033115
77,-96.34803522821606
78,-95.8799036851581
79,-95.12948771008789
80,-94.06804186572997
81,-94.66305945236614
82,-94.0136827769346
83,-93.89853032075136
84,-93.75242090729354
85,-92.72153356080396
86,-91.91493399933933
87,-91.30908798261966
88,-90.63856857156928
89,-90.24152401893676
90,-90.34597643826434
91,-90.0418448109249
92,-89.4978277019723
93,-89.02078023924783
94,-88.58221996837132
95,-88.02071947857117
96,-87.20805884131764
97,-86.61296555249311
98,-85.99154627787175
99,-85.24649741532654
100,-84.78061497141405
101,-84.15169512218009
102,-83.32821475297871
103,-82.99787704971612
104,-82.56388639679399
105,-82.83236678748366
106,-84.3193517027877
107,-83.82462271351122
108,-82.69842501166296
109,-81.50584726011836
110,-81.22440877904239
111,-81.8065046892659
112,-80.67465892878303
113,-80.72421112013086
114,-79.94075429565066
115,-79.05464727437895
116,-78.66296704904512
117,-78.11482940370303
118,-77.928659657223
119,-77.13834561132455
120,-76.37377271022905
121,-77.5595239419402
122,-78.35157852786054
123,-78.66121262778046
124,-78.47182448931459
125,-81.26684888378796
126,-78.76536054831317
127,-76.9016566663789
128,-75.62371750258826
129,-75.49217447773103
130,-75.97048732445997
131,-76.38683735269626
132,-75.64991315203754
133,-75.84514324425896
134,-74.9264607565572
135,-75.39420676855134
136,-73.96131392802032
137,-74.51113207753963
138,-74.49626744825028
139,-75.03979737005577
140,-75.21725301895697
141,-74.58882849654327
142,-74.66871709228244
143,-74.85947746522656
144,-77.4278953118319
145,-77.07680135942793
146,-76.39125184951229
147,-76.74567531201474
148,-76.46285080230156
149,-72.79078097893294
150,-72.13846974908056
151,-70.59948884662232
152,-71.2478543884818
153,-71.31253055729763
154,-71.05514322285784
155,-72.90084699098306
156,-73.0350996452718
157,-73.9530824879259
158,-73.89121754256587
159,-73.30839420437647
160,-73.37381481951329
161,-73.09908619166981
162,-73.2753529717488
163,-72.44822217355023
164,-71.70466857755844
165,-73.83327317099334
166,-72.55669599218405
167,-73.63296961064704
168,-74.21749454012314
169,-73.43403047847764
170,-71.89050831264787
171,-71.22677628127987
172,-71.7349630394041
173,-72.41780069976026
174,-72.73065858383933
175,-72.89290780905503
176,-73.47843822796581
177,-73.30664572897244
178,-73.78402643487114
179,-73.48840258530493
180,-73.55936828674527
181,-75.11220445439022
182,-75.05894359257613
183,-74.92834077676916
184,-74.31567121368431
185,-75.60166406470468
186,-75.66839425782635
187,-75.36617018890911
188,-75.53123005279332
189,-75.33124227685917
190,-74.92016704569858
191,-74.46075353145255
192,-75.07716637913964
193,-75.312080411874
194,-75.38262352057517
195,-76.83771474862257
196,-78.17047887721158
197,-78.62001843732864
198,-79.43349734499165
199,-79.67847089095687
200,-79.17049570234961
201,-79.29758638263803
202,-80.12292712003861
203,-80.43409367274533
204,-79.50931066573271
205,-79.07059762279182
206,-77.60388465649497
207,-77.28469652162
208,-78.365341053024
209,-78.29341681535139
210,-78.12816981628184
211,-79.28054520205237
212,-79.53766968783752
213,-79.3343142540598
214,-80.19798156731183
215,-80.61629384097759
216,-82.30028179318235
217,-82.42939786280702
218,-82.50471710120046
219,-84.32967878980868
220,-84.28357433413984
221,-83.14051388381496
222,-81.29963853702831
223,-80.80286480413227
224,-80.97650417633282
225,-76.56112062773927
226,-77.81072411738806
227,-76.51934444280568
228,-75.76326392123066
229,-74.7742257565559
230,-73.68552096430476
231,-72.92301433759708
232,-73.1613686669313
233,-72.8254911449675
234,-71.9300969060618
235,-70.66216133651965
236,-70.54613967938221
237,-69.23913191720712
238,-69.1580540163806
239,-68.79631693750711
240,-68.20304180977419
241,-68.4434199787991
242,-68.05841977659529
243,-66.68316454773507
244,-63.939244034267304
245,-64.22976861080184
246,-63.60142840857644
247,-63.21790664523312
248,-64.45974345422755
249,-65.12298460509493
250,-64.95634591863256
251,-64.74610503547346
252,-63.66379935579897
253,-63.05781609969081
254,-63.329063092528315
255,-61.83161009937806
256,-63.40162873432537
257,-62.33131845196424
258,-61.73518178834947
259,-61.6805577119987
260,-61.65685339101178
261,-61.75158782247948
262,-61.20573124888824
263,-61.3109939097281
264,-61.45204334708805
265,-59.1479184391622
266,-60.81535294858505
267,-59.70113970271389
268,-59.66507527215809
