,0
0,-136.5099255497667
1,-109.79506466394432
2,-102.53476185047593
3,-94.60536562923866
4,-103.24586704032615
5,-93.15253254192227
6,-80.3797814754383
7,-86.22757920707903
8,-91.52668509985497
9,-96.21399305955133
10,-100.01495961699995
11,-96.71475829902094
12,-104.65345406622484
13,-99.26664879248482
14,-111.98808451784194
15,-114.30441619420726
16,-108.72295647588008
17,-109.18508782896909
18,-105.97407990449628
19,-102.37170551324888
20,-101.02161477323303
21,-97.593598782918
22,-97.16715477179484
23,-95.37163498558294
24,-93.58081198460555
25,-98.8291613751857
26,-104.1844241287835
27,-110.99711172649958
28,-113.29242927139137
29,-112.84533813907989
30,-111.5068659967791
31,-109.44489074723182
32,-107.78893384210123
33,-106.3802623086654
34,-109.99333902968999
35,-109.09472206368622
36,-107.96811914173725
37,-107.33001022849093
38,-105.72617403986656
39,-103.52999829359473
40,-102.1170833803811
41,-103.98587688405689
42,-102.20305469191786
43,-102.28719689785012
44,-100.74976069875599
45,-100.2025491627436
46,-100.33941103496653
47,-98.48362804182473
48,-97.57918595097391
49,-100.89666066289583
50,-101.28442019882104
51,-103.67297360289568
52,-101.82019335504721
53,-100.46152421481189
54,-100.2090876354541
55,-98.84849028955712
56,-97.44585694242154
57,-96.06007066333189
58,-96.30452965581247
59,-95.34933878249245
60,-94.13448549318605
61,-93.69718542005384
62,-92.83958363579917
63,-92.68884376151263
64,-92.74506209041961
65,-91.82918643391523
66,-91.95748388165852
67,-91.1247103280343
68,-90.46197426704258
69,-90.35797963198458
70,-90.25119265432815
71,-90.57039398378454
72,-89.77006190650607
73,-90.67149369165475
74,-89.65797284033381
75,-88.5554769964763
76,-87.75503438573969
77,-86.86805563276366
78,-86.37280211403255
79,-85.72565882815643
80,-84.83309774588749
81,-84.88666515499744
82,-84.22603674766414
83,-84.0756067261383
84,-83.73113271513186
85,-82.80553449921972
86,-81.9437894009735
87,-81.82428830401744
88,-81.38877654047359
89,-80.89298852903113
90,-80.68676556376295
91,-80.11558733271663
92,-79.6144192031722
93,-79.27137238732477
94,-78.98701864681082
95,-78.45314878124903
96,-77.88477338101069
97,-77.29894799783074
98,-76.71557845877251
99,-76.06358548637932
100,-75.33976497556318
101,-74.94532295390563
102,-74.16759151634868
103,-74.3096662549244
104,-73.56546946016847
105,-74.09554375845701
106,-75.72390291386087
107,-75.38965379334789
108,-74.25069518322535
109,-72.93186937952866
110,-71.95950703765719
111,-72.71647882504847
112,-71.16422712532318
113,-70.93620094024065
114,-68.36609567602027
115,-67.11634745052795
116,-67.14544365992346
117,-66.62315610604408
118,-66.31565346175469
119,-66.1014418399371
120,-65.66614533835315
121,-66.79864455863664
122,-67.5241262880327
123,-68.2198118474349
124,-68.17663539446372
125,-68.15130484203931
126,-65.75936814546179
127,-65.12009177347485
128,-63.58630798997303
129,-63.915549283818834
130,-64.03318730338896
131,-64.14842254277
132,-63.67352283350075
133,-63.4496909854171
134,-61.86354831042959
135,-61.61189729166073
136,-61.22334414971391
137,-61.56663675683574
138,-61.18842679790244
139,-61.2434647577086
140,-61.16342011910723
141,-60.40390655817259
142,-60.6066766945881
143,-60.680399622731535
144,-61.291872040206606
145,-60.74719467633252
146,-60.723352402531006
147,-61.211061462992966
148,-61.69989372265032
149,-59.729088430674366
150,-58.87231927298274
151,-56.88187185365532
152,-57.9162235688038
153,-58.08401494248375
154,-57.386296822898714
155,-58.451455225170776
156,-59.15646570679614
157,-59.354503027073505
158,-58.77771591122112
159,-58.568239454939146
160,-58.912506590286654
161,-58.74029002924243
162,-59.29921562625009
163,-58.57874574144002
164,-57.76797771888803
165,-59.32402003355773
166,-58.37687304292648
167,-59.28303532267081
168,-59.86892227913781
169,-59.492603707489145
170,-59.20686597406745
171,-58.24042931626648
172,-59.226412019528645
173,-58.8681213304404
174,-59.05522135184262
175,-59.14735812142521
176,-59.42458949974561
177,-59.26304169158635
178,-59.92874455978831
179,-59.70198038827701
180,-59.713457205184525
181,-60.22685477684644
182,-60.21671392330034
183,-60.439565665319044
184,-60.169308511284136
185,-60.92351294398239
186,-61.11032928591772
187,-60.48555126083959
188,-60.66372313342669
189,-60.51045019055287
190,-60.1377498147965
191,-60.01325646925734
192,-60.7797135423327
193,-60.52756356119566
194,-60.20727834195416
195,-61.954558764942746
196,-62.98324399188772
197,-63.570844831170035
198,-63.94752720879028
199,-64.09715682499454
200,-63.77203121117966
201,-63.73961443094122
202,-64.36649369854076
203,-63.96548936897199
204,-63.46801299973677
205,-62.77007592498876
206,-61.15643462754932
207,-60.61767356447883
208,-61.614932258479314
209,-61.64729400864211
210,-61.97346901815947
211,-63.87033662772439
212,-64.38519309302686
213,-64.80808618680975
214,-64.93006292580864
215,-65.28096227843558
216,-65.87400297849283
217,-66.07366701005827
218,-66.28668922110073
219,-66.97065865018578
220,-66.89691946300616
221,-65.64863254895562
222,-64.16028980329791
223,-63.089269332903456
224,-63.20916507368484
225,-61.22878580810038
226,-62.219357152895725
227,-60.97538789210278
228,-60.77148887343847
229,-59.50353941158112
230,-58.708188567486914
231,-58.21449910497758
232,-58.6690421479537
233,-58.47329418450332
234,-58.204156752923645
235,-57.729621543711275
236,-57.73368317859143
237,-56.640274136271564
238,-56.739326911539955
239,-56.64728619407502
240,-56.32997552861745
241,-55.9426160205596
242,-55.71560033836627
243,-54.85676832379432
244,-54.11217138456836
245,-54.52170855324719
246,-53.68837011387836
247,-53.18129436422958
248,-53.544150891481564
249,-53.89087634050966
250,-53.86703499771797
251,-53.784374797750964
252,-52.8462522268482
253,-53.008215576311095
254,-53.25664277067947
255,-52.88899569080044
256,-53.31174343156531
257,-53.08230709904128
258,-53.00663097747348
259,-52.94980035540113
260,-53.498914107796246
261,-53.71756465170336
262,-53.00894072399387
263,-53.123611811567834
264,-53.511534053568745
265,-52.03606866335888
266,-53.71889054346281
267,-52.74991721874962
268,-52.95558646471717
269,-52.5491996799543
270,-52.55089395751348
271,-52.50240282840839
272,-51.319053163279044
273,-50.67570818283969
274,-52.03121578192101
275,-51.997630949814784
276,-51.96220865879456
277,-52.87810246884647
278,-51.83540573276196
279,-51.89097785130625
280,-52.406665689425196
281,-52.32308237464631
282,-52.16491817169753
283,-51.41605314446714
284,-51.527138821590185
285,-51.58077984412964
286,-51.68407169010164
287,-52.058552814800876
288,-52.80829053060783
289,-53.33096567350577
290,-53.14491752693255
291,-53.464720401235525
292,-53.86859612092739
293,-54.338444148523074
294,-54.694307271055784
295,-52.94299234629475
296,-52.57542975504926
297,-52.06564473056788
298,-52.55723185402975
299,-53.21628945506434
300,-54.84237926195876
301,-54.674656968092506
302,-54.56657272435522
303,-54.38484410453661
304,-55.066293772310615
305,-55.96920660570014
306,-57.64078193283549
307,-57.92606589757
308,-57.809636498488565
309,-57.89351303178022
310,-57.840415281103326
311,-54.839529615340886
312,-54.008670297644656
313,-54.21213483823095
314,-54.101177172550436
315,-53.73960098181828
316,-53.237001580813306
317,-52.6698134578369
318,-52.408860269369605
319,-52.01052124238676
320,-52.483772107785136
321,-52.454997329283536
322,-52.619574516986916
323,-53.21662367181665
324,-52.883055939771054
325,-52.639412562563685
326,-51.84750253878933
327,-50.872252927800986
328,-51.82053745086916
329,-52.29387819847296
330,-52.336658094246594
331,-52.38779869181278
332,-51.935341638529344
333,-52.311432535797685
334,-52.44161839136756
335,-52.48278031209506
336,-52.996147699630185
337,-53.117735990361204
338,-53.01425858013844
339,-52.970467734212036
340,-53.000276670113024
341,-52.88865073888665
342,-52.66436883725462
343,-53.018472909245254
344,-53.66743105348288
345,-54.00693864901964
346,-54.42921192642033
347,-55.267596211778475
348,-54.34651820997132
349,-54.09232231140767
350,-54.08526801888342
351,-54.11506971878171
352,-55.666328819394124
353,-55.277220203629916
354,-55.58651421800962
355,-55.24978482030323
356,-54.297965519500494
357,-55.001586964965064
358,-55.84751730043108
359,-56.27886817711568
360,-55.277497568067645
361,-54.71503764617731
362,-54.542693250545554
363,-54.59635034720986
364,-54.23058333073172
365,-54.02575079852475
366,-52.40611496050314
367,-52.403554486314036
368,-51.418723812385316
369,-51.97898224847888
370,-51.67106999933246
371,-51.609090899515174
372,-52.06905988074231
373,-52.23794540219356
374,-51.22201459607971
375,-51.143293988727955
376,-51.27043873826535
377,-50.35922425114027
378,-53.73565591091675
379,-54.106005705956925
