,0
0,-8.018328489872864
1,-5.568530958134823
2,-5.071959743686627
3,-4.5339626288717225
4,-4.263058415772076
5,-3.8793176635843203
6,-3.70463141767441
7,-3.5336791204265503
8,-3.4009740571722085
9,-3.5274574128527356
10,-3.6203131692289077
11,-3.5241498072137976
12,-3.5405645733096827
13,-3.494330564366617
14,-3.4953548527184983
15,-3.576597434335558
16,-3.48128063679626
17,-3.5020151483821955
18,-3.441436703075108
19,-3.4674573102548925
20,-3.4208584942545377
21,-3.4619921119215835
22,-3.4332591159059485
23,-3.5144452617676474
24,-3.5077669510324556
25,-3.492646920962453
26,-3.493920561761762
27,-3.518257203236691
28,-3.5124446321734086
29,-3.528068276462025
30,-3.567648357638319
31,-3.546224836519514
32,-3.5089441942014723
33,-3.5853762100345854
34,-3.6162788391558935
35,-3.6150153101344578
36,-3.66288324474664
37,-3.6506847490856424
38,-3.640873221169053
39,-3.6651510373160674
40,-3.669878056503474
41,-3.653293335346293
42,-3.6515132174017086
43,-3.6967872216324724
44,-3.7425374002213094
45,-3.7049765010846447
46,-3.670398267340459
47,-3.6522628112725877
48,-3.6200262768665863
49,-3.6586794299197174
50,-3.6764162512390315
51,-3.639775410951046
52,-3.6213401563370557
53,-3.6525847251988313
54,-3.6301680589301033
55,-3.585479756441388
56,-3.567056769904981
57,-3.556080583719898
58,-3.5696492544817784
59,-3.5556654974253137
60,-3.587132061458116
61,-3.6130606796136884
62,-3.588727358921728
63,-3.5804433770278923
64,-3.6193846428683463
65,-3.624359760214231
66,-3.6047588735512583
67,-3.5988359173932842
68,-3.5765217228434696
69,-3.622108741781798
70,-3.621802016512128
71,-3.5991347568859546
72,-3.6252502173423182
73,-3.6076647544520526
74,-3.5957340440168832
75,-3.59173559286163
76,-3.607311896855315
77,-3.596873901358587
78,-3.6056294879051283
79,-3.6106859889885414
80,-3.6357939074763976
81,-3.6366953812614256
82,-3.6412471163414835
83,-3.6506261887550795
84,-3.6713670343263898
85,-3.666226328349844
86,-3.6771689927414553
87,-3.6778084025515296
88,-3.7181739333304513
89,-3.710539831686726
90,-3.701193869286191
91,-3.685475316842654
92,-3.68170566503133
93,-3.6996538325548878
94,-3.6819189037234428
95,-3.675351942316072
96,-3.6512986767398656
97,-3.629662476326608
98,-3.639933309725315
99,-3.642891139522169
100,-3.601889594006343
101,-3.6139494545747315
102,-3.600379768309426
103,-3.6192759954838634
104,-3.6189431295522843
105,-3.6185241094323146
106,-3.6172390204797638
107,-3.6153222835090055
108,-3.635698598484453
109,-3.634447504226602
110,-3.6187947803904534
111,-3.6254106693600643
112,-3.6412682629448754
113,-3.645416399290226
114,-3.6571902252520165
