,0
0,-8.018328489872864
1,-5.5685347117052375
2,-5.07195935237565
3,-4.533959461064863
4,-4.263003029905143
5,-3.879436653649171
6,-3.7047546968624223
7,-3.5336191782410564
8,-3.400909648961459
9,-3.527350971649271
10,-3.6202546727651836
11,-3.5240982301201824
12,-3.5404655614771112
13,-3.4942202608898802
14,-3.4952408922721654
15,-3.5765583902697267
16,-3.4812611690091053
17,-3.501981812967236
18,-3.4413746628458686
19,-3.4673681960503338
20,-3.420692218110044
21,-3.4618243389149828
22,-3.433118524481999
23,-3.5145245565197905
24,-3.5198284403078146
25,-3.5097846569558087
26,-3.4556677470378
27,-3.4447798866024084
28,-3.510781312754967
29,-3.4686047446344532
30,-3.500505432178529
31,-3.492617222163063
32,-3.485171922071796
33,-3.5113422757010864
34,-3.497305324828453
35,-3.462184476914555
36,-3.473692567324111
37,-3.457988779675717
38,-3.4993974952643563
39,-3.545745503266109
40,-3.5489342036364055
41,-3.534580992542118
42,-3.5229288444491624
43,-3.534455628161152
44,-3.5346044774562264
45,-3.5302156562801428
46,-3.4872612817161626
47,-3.491093079668321
48,-3.500815276764983
49,-3.5385204885262254
50,-3.5311506518474354
51,-3.5260644984995317
52,-3.5305395192250986
53,-3.5291275247274565
54,-3.5229420071802124
55,-3.4916630976142176
56,-3.4889246450196025
57,-3.492562116499248
58,-3.4815298706655637
59,-3.4962927761024716
60,-3.5344015115650658
61,-3.5431551108308303
62,-3.548568571104772
63,-3.525214033900286
64,-3.5272965296716285
65,-3.5219757398429534
66,-3.533229309809395
67,-3.5591008587902295
68,-3.567193341152912
69,-3.6402729286231894
70,-3.670171362546789
71,-3.658526998657161
72,-3.717342774442746
73,-3.7074085804253523
74,-3.6948175165483046
75,-3.667085464625644
76,-3.6738464703028906
77,-3.679837838289719
78,-3.669892211649622
79,-3.674274382999168
80,-3.687889484384778
81,-3.6710634513954155
82,-3.6591854831343404
83,-3.6449364914738065
84,-3.670447568875779
85,-3.6571801961799237
86,-3.6523944324521365
87,-3.657092323562847
88,-3.698451445243798
89,-3.6909072218281014
90,-3.6954453212216922
91,-3.6739149201892016
92,-3.6576561470683164
93,-3.64410041280996
94,-3.633670497320278
95,-3.6306337225642635
96,-3.621220779617535
97,-3.597071943911262
98,-3.6252875198680856
99,-3.6206973692874853
100,-3.578593523168022
101,-3.5732232937310444
102,-3.558742385225413
103,-3.557325993746226
104,-3.5596662714762313
105,-3.57816532959078
106,-3.5805122538926657
107,-3.6110581905071424
108,-3.6502808787938927
109,-3.647950497115549
110,-3.626748277649627
111,-3.640098641261354
112,-3.636601682920735
113,-3.6563977497967635
114,-3.680358266395786
115,-3.670578480267977
116,-3.7005089926436767
117,-3.7256966167337664
118,-3.73152995426236
119,-3.7602290856141356
120,-3.7698024663478753
121,-3.751149919063285
122,-3.755286922764406
123,-3.7323835875971247
124,-3.7351101306911865
125,-3.733870092279395
126,-3.751498400488683
127,-3.752719191139016
128,-3.7329831635748234
129,-3.7362796970813967
130,-3.7302184734677666
131,-3.737145007737146
132,-3.7560654643048794
133,-3.742340592612577
134,-3.7669409540534144
135,-3.784001857176089
136,-3.7822814072552187
137,-3.8072839009405186
138,-3.780166832278044
139,-3.7648410743971334
140,-3.7546064311807514
141,-3.762776921393866
142,-3.789043760642134
143,-3.80790871534366
144,-3.802088905506999
145,-3.785580810609813
146,-3.8348143735680593
147,-3.832924355956379
148,-3.833933690421918
149,-3.8107781498365516
150,-3.8198955105963246
151,-3.8133003412963733
152,-3.8059242993430553
153,-3.799378090414464
154,-3.801336302582401
155,-3.830536230561545
156,-3.8401703579533146
157,-3.8291683859412693
158,-3.844842360920581
159,-3.851956818495384
160,-3.826694622998046
161,-3.804273908439131
162,-3.7938222875962695
163,-3.8069746591124876
164,-3.809339772472797
165,-3.810973774479341
166,-3.835667640656679
167,-3.8250341434422315
168,-3.8563896613145574
169,-3.824722200253617
170,-3.8020162985158628
171,-3.821894388762394
172,-3.793956601343834
173,-3.806289235423774
174,-3.8288506706257692
175,-3.8436419015946255
176,-3.8362972872084544
177,-3.834875235813458
178,-3.829270461105594
179,-3.8105351867174577
180,-3.7988159628181615
181,-3.832258524450168
182,-3.8245658222975583
183,-3.8281859869859347
184,-3.810899340436643
185,-3.8144909503703763
186,-3.8208317696112797
187,-3.8257762994945614
188,-3.7664156177506243
189,-3.7484044334761975
190,-3.7438664119625327
191,-3.7523004582359376
192,-3.7838099699586873
193,-3.807363330078441
194,-3.8159820112038365
195,-3.8665717493644336
196,-3.881412630892224
197,-3.9104655804528274
198,-3.8771841741122675
199,-3.8791592398134758
200,-3.87223107710092
201,-3.8830686226358466
202,-3.8925973099607982
203,-3.9005587093560665
204,-3.9089968478250836
205,-3.902152935313199
206,-3.90327484560544
207,-3.878851379382874
208,-3.8562950920708006
209,-3.8504454269817967
210,-3.871211429607826
211,-3.8812351810222525
212,-3.8658822593783975
213,-3.8733799392070347
214,-3.8489621297264494
215,-3.8563466853970887
216,-3.8290007375907815
217,-3.8045553936924676
218,-3.7978464529712763
219,-3.749304194070393
220,-3.7436316094489595
221,-3.744096833284703
222,-3.757557542360699
223,-3.7567704430207027
224,-3.7525954235326044
225,-3.7408908331093356
226,-3.7449383398481757
227,-3.7451556699089275
228,-3.7508026707408044
229,-3.780779219765287
230,-3.7939586166554404
231,-3.7785617765920607
232,-3.761737806786789
233,-3.7662241138145625
234,-3.751591176969723
235,-3.7315853689202965
236,-3.7194067486749076
237,-3.6908988188415606
238,-3.7024783115226807
239,-3.713807471153166
240,-3.721980893582292
241,-3.7100887746043423
242,-3.6983124792850037
243,-3.692633948709423
244,-3.6988095108296717
245,-3.7051210141781747
246,-3.692579304334574
247,-3.6881078601957773
248,-3.68674515141178
249,-3.683126652912872
250,-3.678209495967071
251,-3.6866028633232912
252,-3.6864189000336767
253,-3.7004292828926735
254,-3.7227960966187847
255,-3.7091160020874323
256,-3.708673335033181
