,0
0,-103.15286671831677
1,-101.57795476925187
2,-94.42933229004392
3,-80.23246085948288
4,-81.49672885890601
5,-79.98593747318061
6,-81.90401934557215
7,-80.90286406724275
8,-84.52809120423112
9,-87.62735256245551
10,-87.41312491312523
11,-88.16074573271739
12,-86.83058051981114
13,-84.7959142997795
14,-83.92771557767354
15,-84.33005540252044
16,-83.44315793398835
17,-82.41139015983177
18,-83.46154348347325
19,-83.9642053175333
20,-83.44345758485298
21,-84.06100558201746
22,-82.32626142837728
23,-81.67076784423897
24,-82.64326225652076
25,-83.14913685613064
26,-82.76605282759904
27,-82.35296528245553
28,-81.8565316243459
29,-82.56931908523113
30,-82.86622016363977
31,-82.67641377219829
32,-83.22400270437761
33,-83.31122129531376
34,-84.20377619189595
35,-84.20379351511679
36,-84.65462967725455
37,-84.43221508722047
38,-83.82021525754364
39,-85.2327827254206
40,-85.02290307900992
41,-84.36242799705221
42,-85.05135293016126
43,-84.81348892664185
44,-83.81028075979722
45,-85.34152810797057
46,-85.44694181024657
47,-85.30033325849826
48,-84.73619552255339
49,-84.34930707317662
50,-84.67803684022842
51,-84.56202444298107
52,-84.69213961688116
53,-85.45002524722476
54,-85.40148455983673
55,-85.04812583231104
56,-84.89135769446023
57,-84.42914814040005
58,-84.24074600474955
59,-83.88766499533683
60,-83.54461172243215
61,-82.93357445539293
62,-82.45318151822148
63,-82.54177374889862
64,-82.34960982152923
65,-81.79365066371359
66,-82.27956015084543
67,-82.11907858070222
68,-81.90779425073876
69,-81.91802121047516
70,-81.76032494954032
71,-81.98021898645423
72,-82.53949145766597
73,-83.02377771308274
74,-83.24695424329089
75,-82.91045907837916
76,-83.15080030685782
77,-82.84989216981268
78,-82.95769296407978
79,-82.91377141201062
80,-82.57604982763608
81,-83.09871901638233
82,-83.10815928904687
83,-83.02622114286079
84,-82.79143859712715
85,-82.66105346535613
86,-82.6549762521414
87,-82.49498483450613
88,-82.49912868346885
89,-82.47560917321493
90,-82.29809299213224
91,-82.28398709176403
92,-82.26660488421679
93,-82.11329932390927
94,-81.80963441782453
95,-81.80591207059797
96,-81.83966675010336
97,-81.78086882904537
98,-81.71347144744786
99,-81.8067321343807
100,-81.2207464052986
101,-80.85281820437467
102,-81.26835857729812
103,-81.5315690764194
104,-81.7432026089818
105,-81.84336130469778
106,-81.7419797700209
107,-81.823221986609
108,-81.60316061512964
109,-81.46333696728641
110,-81.4478208926545
111,-81.49516675075105
112,-81.60704731827643
113,-81.6321148442834
114,-81.39841954105846
115,-81.11351368497385
116,-81.23629948256155
117,-81.53910397582807
118,-81.63081549527975
119,-81.28441169505028
120,-81.03336378603001
121,-81.13362729680586
122,-81.68367243986229
123,-82.15763134504306
124,-81.72306875439823
125,-81.5260345637506
126,-81.89834372971697
127,-81.96662953763551
128,-82.11034942234267
129,-81.93591266671825
130,-81.3505954943421
131,-81.25098354168495
132,-80.87591048016755
133,-80.74769357878509
134,-80.5006964539163
135,-80.54683267534833
136,-80.24906032955526
137,-80.67384787911466
138,-81.06339441646493
139,-80.64542894403188
140,-80.53638604559119
141,-80.65846043839858
142,-80.425642162667
143,-80.66758742636243
144,-81.19897079715862
145,-80.66997229964714
146,-80.69636894506135
147,-80.47205257199745
148,-80.90127473978012
149,-80.80405534912886
150,-80.49851382967361
151,-80.38632930136208
152,-80.42314361944369
153,-80.31937588498286
154,-80.06000553660863
155,-80.32293709531105
156,-80.36884463462142
157,-80.89365503536484
158,-81.13515927929727
159,-81.31636128014733
160,-81.4794241630732
161,-81.61630619720403
162,-81.81340179828604
163,-81.64002785906337
164,-81.60981603933033
165,-82.0336514414038
166,-81.37527782052676
167,-81.32465498984635
168,-81.93896320632604
169,-82.30427207613121
170,-82.14342586605918
171,-81.62182584184455
172,-81.54452761001788
173,-81.18423081305619
174,-80.92542609785649
175,-81.19083524636638
176,-81.07584475179378
177,-81.42463394376678
178,-82.13846180835525
179,-81.8910157846909
180,-81.83493497677102
181,-81.35938509461023
182,-81.29683450115856
183,-81.00256609120335
184,-81.02030687579617
185,-80.95273193301237
186,-80.62322075543679
187,-80.52022663375236
188,-80.59999229638355
189,-80.37571793411873
190,-80.76903064300599
191,-81.04620410292657
192,-80.99268378396239
193,-81.30218651804422
194,-81.52942205276446
195,-81.43656911835278
196,-81.57986750053628
197,-81.7353354166621
198,-81.81140898740566
199,-81.85011542516254
200,-82.08593739612037
201,-82.34314720644247
202,-81.65156872982224
203,-81.72954241964318
204,-81.61768618284742
205,-81.42381578657742
206,-81.19497977557695
207,-81.06121841237254
208,-80.93093493072973
209,-80.4338731913202
210,-80.51627268159444
211,-80.40436558941384
212,-80.48428173823244
213,-80.91834890068455
214,-81.13980557196759
215,-81.19780774269452
216,-81.32346853543336
217,-80.9001153282311
218,-80.71944539145427
219,-80.9928784762829
220,-81.15444334263647
221,-80.97965419873866
222,-81.09054458775393
223,-80.86410729977426
224,-81.09213676940618
225,-80.82699622930505
226,-80.34889384096746
227,-80.62655558326122
228,-80.7250307376144
229,-80.8765397507686
230,-81.4801888729442
231,-81.2718896582285
232,-81.53025251263614
233,-81.55009674065019
234,-81.3432279470262
235,-81.05211056959811
236,-81.16956856938192
237,-80.98830331403002
238,-80.71225898506191
239,-80.5319441520703
240,-80.37465165106646
241,-80.31952752449652
242,-79.88814163885573
243,-79.8418036440745
244,-79.47469207113802
245,-79.16644001698548
246,-78.82380059354509
247,-79.01548692243315
248,-79.55887576409762
249,-80.02380196678689
250,-79.96424203907345
251,-80.21892264526451
252,-80.34926836513083
253,-80.05340634114603
254,-80.37819970749548
255,-80.15529068251162
256,-79.86166383433974
257,-79.55950029316469
258,-79.10206298472235
259,-79.15001598195623
260,-79.07742321608913
261,-79.45900540939618
