,0
0,-108.70953307656767
1,-105.32825855111864
2,-96.96832481534614
3,-82.69850115190084
4,-83.17000631311026
5,-81.37588901975414
6,-80.1325433544523
7,-80.56919032088919
8,-82.96152323867074
9,-86.22906063240421
10,-86.79938662205159
11,-88.78418504214676
12,-87.51089466184268
13,-85.56435584900785
14,-84.93441665099817
15,-88.21909881947043
16,-87.06314807639367
17,-85.29808543464159
18,-85.64212801304912
19,-86.78473667849399
20,-86.2329055141093
21,-86.07191317612654
22,-84.30848532582722
23,-84.77550092078997
24,-86.7376620850795
25,-85.73331931025592
26,-85.65655446349427
27,-84.86228742195956
28,-84.21959816595773
29,-83.26572954540984
30,-84.37257530920084
31,-83.81465805302545
32,-83.4617030715958
33,-83.8848673073979
34,-84.773337618082
35,-84.41302280436038
36,-84.16884084379217
37,-83.33853130129985
38,-83.38921468436557
39,-83.7343696557963
40,-83.30932481459111
41,-82.70846135767158
42,-82.94096759680379
43,-83.66519375741899
44,-82.81008982475684
45,-82.38601343026932
46,-82.86501295049106
47,-83.24878950053736
48,-83.2468889758094
49,-83.32761677700182
50,-84.32542727859382
51,-84.11501675870392
52,-84.84607634764504
53,-86.15597669119745
54,-86.49887721060065
55,-86.61132728548766
56,-86.19105326462109
57,-85.78878657585334
58,-85.59568387278122
59,-86.28527873486836
60,-85.90111762373023
61,-85.88783144532107
62,-85.52874013051623
63,-85.25740173846516
64,-84.94125575608587
65,-84.32112413118149
66,-84.37178812838329
67,-84.22400058595896
68,-84.13602984019124
69,-84.25087205729554
70,-84.0171087709426
71,-84.1206852509186
72,-84.18170484379766
73,-84.79047938518467
74,-84.67912097675065
75,-84.46115026255185
76,-84.24210248188183
77,-83.9662959475441
78,-84.5573381402166
79,-84.28098871881582
80,-84.05076343048461
81,-84.44129616171539
82,-84.02571953139812
83,-83.89920433371626
84,-83.9474110488825
85,-83.67895555790282
86,-83.47227134329135
87,-83.8674934177268
88,-83.85038793881169
89,-83.84462931553203
90,-84.06459883384251
91,-83.83133885813051
92,-83.68883746648586
93,-83.43481491402024
94,-83.30093256675576
95,-83.62242883448208
96,-83.72015851114554
97,-83.47848261410469
98,-83.13540709880992
99,-83.26861313116011
100,-82.58720308273489
101,-82.24362973464666
102,-82.1282480802212
103,-82.47372679247933
104,-82.30778811568935
105,-82.44527761373816
106,-82.62547143658644
107,-82.71523270911608
108,-82.47311201076462
109,-82.02155054345529
110,-82.11398971210201
111,-81.77837496511671
112,-81.7455619180692
113,-81.75196573799954
114,-81.532238563157
115,-80.80029148545377
116,-80.66055655979885
117,-80.89704783435813
118,-81.13705272785477
119,-80.75656697030853
120,-80.83180716962093
121,-81.16435523678655
122,-81.53859080966083
123,-81.420924807827
124,-80.66238418985333
125,-81.19525990140234
126,-81.40861461272878
127,-81.59545352215997
128,-81.83837961782007
129,-82.04975958225616
130,-81.53554303829854
131,-81.53078806436594
132,-81.49919695595737
133,-81.10728051968825
134,-80.62706031454128
135,-81.10276234165026
136,-81.04427751406246
137,-81.44656782733782
138,-81.42337679901684
139,-81.6514548457203
140,-81.53605712257954
141,-81.91913810277418
142,-81.73584736857181
143,-81.58334013345667
144,-81.97907907396879
145,-82.27541018989312
146,-82.50611326268059
147,-82.0787028438634
148,-81.90072986359277
149,-81.70485444347311
150,-81.43049972640392
151,-81.9241577575104
152,-81.89207384143533
153,-81.09170436614156
154,-80.63426518703443
155,-81.1621017774323
156,-81.5965877090018
157,-81.95134824777199
158,-82.12773542993291
159,-81.37467195871187
160,-81.29832633413938
161,-80.9885230960438
162,-80.79899758936381
163,-80.54538715183021
164,-80.62630319955593
165,-81.4092438454989
166,-81.24097920542748
167,-81.36391486147569
168,-81.59241624873889
169,-81.82296317572514
170,-81.64668242602743
171,-81.45109140203192
172,-82.14185844351563
173,-81.62522338222136
174,-81.53855462345803
175,-81.94851371725444
176,-81.9844445411116
177,-82.56809226160152
178,-82.2274714845502
179,-82.37009786657754
180,-82.41501132880954
181,-82.21634884374507
182,-82.37817045689184
183,-82.71226092052466
184,-82.49100715236517
185,-82.51736152213293
186,-82.34168560195543
187,-81.9915181323817
188,-81.7736146817045
189,-81.70043481120472
190,-80.9921985516339
191,-81.02225742769626
192,-81.19859904711028
193,-81.98462831557126
194,-82.15142136565468
195,-81.84163619621432
196,-82.53029449245055
197,-82.765244980674
198,-83.01127678760642
199,-82.47700916893602
200,-82.68872639576533
201,-82.8619975625665
202,-82.88337726496651
203,-82.85477452978172
204,-83.05686965420695
205,-83.04134795694901
206,-83.09215225998386
207,-82.66899795302638
208,-83.16170498241154
209,-82.96694366147241
210,-82.85978890908386
211,-82.87310374022209
212,-83.20396681620767
213,-84.41037496727371
214,-84.53243890464175
215,-84.46433600976319
216,-84.75221666246146
217,-84.61003097265079
218,-84.37446974938712
219,-84.23621589923985
220,-83.98802486227507
221,-83.55594829597709
222,-84.07093993419818
223,-84.42579496655576
224,-84.35952494649855
225,-84.1339073126486
226,-83.98217575529321
227,-84.17771363440256
228,-83.94826054055503
229,-84.1509725811947
230,-84.29865031023849
231,-84.16313047991294
232,-84.58532249781655
233,-84.80073781584187
234,-84.8908143120058
235,-84.63344488530855
236,-84.99666244335445
237,-84.65276193842261
238,-84.44688291994115
239,-83.98275951063786
240,-84.18948479387329
241,-83.94135416966611
242,-83.70985405468997
243,-83.4570910825197
244,-83.22868887658429
245,-82.82672328790905
246,-82.25268058969687
247,-82.35033711104843
248,-82.83380600292378
249,-83.09494196639794
250,-82.59356010170801
251,-82.47946198274316
252,-81.98871407067878
253,-82.15097271413757
254,-82.35848292152691
255,-81.6934955410114
256,-81.27825457720296
257,-81.02537202108724
258,-80.80057876867622
259,-81.30165672770495
260,-81.65554792267619
261,-82.14526950007058
262,-82.84667936568277
263,-83.3992326866754
264,-83.29153260650776
265,-83.02956820973166
266,-83.20061623259011
267,-83.50795964455955
268,-83.14684052877362
269,-82.43538309134242
270,-82.37619113428822
271,-82.21078203953277
272,-81.2505424969703
273,-81.3662673503957
274,-81.69547619737024
275,-81.09147690546675
276,-80.98728893612297
277,-80.9183724030867
278,-80.90324000211503
279,-80.88153856222804
280,-80.97451542405166
281,-80.79625000562542
282,-80.66218092170492
283,-80.14315504550193
284,-80.41294869473774
285,-80.53035494851152
286,-80.86548890562533
287,-80.47723445110606
288,-80.84001219948772
289,-80.7845112228103
290,-81.2104401771662
291,-81.07155625062553
292,-81.02556648289716
293,-80.24488726173665
294,-79.97740564567019
295,-79.71686934086173
296,-78.9557807883828
297,-79.01648707686249
298,-79.1226619417906
299,-79.08616311452421
300,-79.52474349525887
301,-79.54905790302591
302,-79.63758115694667
303,-79.84774828058734
304,-79.6591554495431
305,-79.56280952627276
306,-79.08010726690335
307,-79.72475186499855
308,-78.96982008579731
309,-79.05756965102327
310,-79.41639031000888
311,-79.69612589595167
312,-79.58054094614455
313,-78.49502757421781
314,-78.35852251749758
315,-78.6546889248878
316,-78.63228557668305
317,-78.630906842907
318,-78.4266374547808
319,-78.32568424998533
320,-79.13324626980406
321,-79.09580725684215
322,-78.71434516182421
323,-78.42724417756337
324,-78.54156329977583
325,-78.45073943495339
326,-78.20825723768203
327,-78.12951944526563
328,-78.03598029582386
329,-78.63559767544875
330,-78.55310263717162
331,-78.92476621069858
332,-78.42587749666225
333,-78.51171400968299
334,-78.34323326691364
335,-78.12251563220046
336,-77.6861539783412
337,-77.60267792440817
338,-77.60773833421696
339,-77.31142192176287
340,-77.35441255919976
341,-77.4396512724767
342,-77.37192582808717
343,-77.13618440556506
344,-77.31162407439305
345,-77.69146155195583
346,-77.75219008658706
347,-77.95586849160432
348,-77.54539259658374
349,-77.56791447096757
350,-77.83799088938203
351,-77.36932677212855
352,-77.69940285513997
353,-77.38798109646868
354,-77.12268273940073
355,-77.22583552209717
356,-77.20732424360006
357,-77.28900365957186
358,-77.59614095145255
359,-77.46713217158654
360,-77.08623831344772
361,-76.73280640545275
362,-76.31106261659552
363,-76.18948577324903
364,-76.05356620803401
365,-75.900921361147
366,-75.6843963442853
367,-75.69939362405518
368,-75.59451729674046
369,-75.9436887689424
370,-76.38618230134948
371,-76.85329297843825
372,-77.01984691664731
373,-76.63052672878587
374,-76.29703559362648
375,-76.4500338347499
376,-76.60615628417445
377,-76.49490964167165
378,-76.44705055782524
379,-76.30967410225703
380,-76.35920883737258
381,-76.3666575975585
382,-76.64884007027138
383,-76.74562347963378
384,-76.51981512255887
385,-76.30445629532427
386,-75.9453917929358
387,-76.32783925982733
388,-76.42640346117032
389,-76.64821175702374
390,-76.53110576589364
391,-76.89775283148305
392,-76.78752606217479
393,-76.94187561997086
394,-77.08954661276486
395,-77.15226107579359
396,-77.05336261178141
397,-76.82741034885906
398,-76.69641348973224
399,-76.86530317668512
400,-76.4027914337807
401,-76.1802128273612
402,-76.27002025868664
403,-76.16802665633114
404,-76.32468867141219
405,-76.26334339320746
406,-76.75058919979318
407,-76.27773474119996
408,-76.4006353787242
409,-76.3280806994075
410,-76.16750161883895
411,-75.727570262367
412,-75.4386772749966
413,-75.84351621961804
414,-75.96872401797928
415,-75.6355591375674
416,-75.82049562617794
417,-75.95216864195602
418,-75.90016004847304
419,-76.28722640463621
420,-75.84572974369219
421,-76.12104360314329
422,-75.76851621946471
423,-75.59326175920597
424,-75.75424350551746
425,-75.52664704554957
426,-75.51609416435862
427,-75.55289396547568
428,-75.60959323928458
429,-75.48018845525344
430,-75.49781331487353
431,-75.36889883463634
432,-75.08642950286406
433,-74.8535799296661
434,-74.9836112764663
435,-74.8468905042066
436,-74.95523416902564
437,-75.21529432940349
438,-75.67041171089323
439,-75.89233783145013
440,-75.6140829686498
441,-75.56113985467417
442,-75.90734135793329
443,-76.25251145057702
444,-76.42482360139475
445,-76.19102290047861
446,-76.13474876950491
447,-75.82977605499136
448,-76.08217228354377
449,-75.6130776838779
450,-75.53864921981129
451,-75.75409087534842
452,-75.53531527879163
453,-75.6187714734591
454,-75.82845573075707
