,0
0,-8.018328489872864
1,-5.5685347117052375
2,-5.07195935237565
3,-4.533959461064863
4,-4.263003029905143
5,-3.879436653649171
6,-3.7047546968624223
7,-3.5336191782410564
8,-3.400909648961459
9,-3.527350971649271
10,-3.6202546727651836
11,-3.5240982301201824
12,-3.5404655614771112
13,-3.4942202608898802
14,-3.4952408922721654
15,-3.5765583902697267
16,-3.4812611690091053
17,-3.501981812967236
18,-3.4413746628458686
19,-3.4673681960503338
20,-3.420692218110044
21,-3.4618243389149828
22,-3.433118524481999
23,-3.5145245565197905
24,-3.5078301529374345
25,-3.492681586588882
26,-3.493876807176977
27,-3.5182167883441418
28,-3.5124204947138415
29,-3.5280434123914626
30,-3.5675303440855926
31,-3.5460330520581014
32,-3.5087877440588016
33,-3.585385350655599
34,-3.616319703017612
35,-3.6149651501317064
36,-3.662849905041393
37,-3.6506486921320835
38,-3.6408615759867544
39,-3.665126085141261
40,-3.669905096117438
41,-3.653332237849863
42,-3.651574886062024
43,-3.69683773288323
44,-3.7425436030857306
45,-3.7048050631272758
46,-3.6702418609875114
47,-3.6520311183286562
48,-3.6197867401129207
49,-3.6578530641231377
50,-3.6755948690718063
51,-3.638977626765334
52,-3.620544305895115
53,-3.6519894591216606
54,-3.6295504644478256
55,-3.5848364832072335
56,-3.566288210674461
57,-3.5552677892335547
58,-3.5688183969439495
59,-3.5548361032124025
60,-3.586357905128863
61,-3.612250762793184
62,-3.587910574572646
63,-3.5796696904197614
64,-3.6175908374883363
65,-3.6224320233820735
66,-3.6028354592991283
67,-3.5969692237849578
68,-3.5746473965081815
69,-3.620265610251423
70,-3.6198989195198044
71,-3.5972374730621874
72,-3.623302353828507
73,-3.6057776408613544
74,-3.59386596615994
75,-3.589897485840159
76,-3.6054397342248405
77,-3.5950139712630924
78,-3.6037956051147795
79,-3.6086709359496836
80,-3.633620819133018
81,-3.634451659970708
82,-3.6390527008758355
83,-3.648385141612284
84,-3.6691550686558907
85,-3.663988670623184
86,-3.6747759091590804
87,-3.6754481775798653
88,-3.71584704662046
89,-3.7082188040577795
90,-3.6988880642122384
91,-3.6832216332085155
92,-3.6794449548830372
93,-3.6974222239069046
94,-3.6796674942045837
95,-3.673090713145848
96,-3.6490547365619257
97,-3.6274466965431142
98,-3.637631325844797
99,-3.640606259087102
100,-3.599640107350764
101,-3.611679808905612
102,-3.598132309093615
103,-3.6169460120346746
104,-3.6165835750079975
105,-3.61619276136205
106,-3.6149275178330464
107,-3.6129680241555753
108,-3.6333786968442894
109,-3.6320507907605006
110,-3.616413299774952
111,-3.623003394148427
112,-3.638864547332596
113,-3.6429689889859547
114,-3.654603539075116
115,-3.6367744172743746
116,-3.6734393627033586
117,-3.6740053229905283
118,-3.6791920306062735
119,-3.6796953077124566
120,-3.6932887940097117
121,-3.6893066055713017
122,-3.6848629278933434
123,-3.662190366817546
124,-3.6647218678603486
125,-3.6481147622512755
126,-3.652535283437645
127,-3.6311776141382017
128,-3.6385807886534662
129,-3.6179302272502154
130,-3.6129171847574693
131,-3.636198049236134
132,-3.669960554203327
133,-3.6286098885025178
134,-3.6291735633593754
135,-3.6713539899111924
136,-3.656154127922857
137,-3.6570431690577117
138,-3.6730506373853427
139,-3.6584574695683636
140,-3.651756644316829
141,-3.6481713058857617
142,-3.656443118515339
143,-3.646200741136476
144,-3.6217441928983622
145,-3.6168908394111345
146,-3.6481017532954794
147,-3.658737853535651
148,-3.6863093099011706
149,-3.676773173031183
150,-3.6583488371175745
151,-3.6811026563361575
152,-3.6728627006613537
153,-3.6533011314344948
154,-3.652638589309076
155,-3.6802458638618036
156,-3.6763784481091655
157,-3.6760421737772235
158,-3.6602677401708403
159,-3.6925297582215006
160,-3.691663448251616
161,-3.664387480378259
162,-3.6595305212457627
163,-3.678883254997175
164,-3.6535794127951733
165,-3.6423161733599647
166,-3.667977872456047
167,-3.6747541561805543
168,-3.6963391987048477
169,-3.6782919705111734
170,-3.68632346284485
171,-3.685758638285212
172,-3.6542803268773825
173,-3.655047545015306
174,-3.6715791036659375
175,-3.6639465014406336
176,-3.6460389613350226
177,-3.6347369218577943
178,-3.6190370160495258
179,-3.618120370883073
180,-3.6033495807478437
181,-3.5920395464947217
182,-3.5850280293897003
183,-3.5627943700498235
184,-3.5632793605204442
185,-3.5847064883428152
186,-3.572891017337277
187,-3.584299130946559
188,-3.5425551056764744
189,-3.537248747378133
190,-3.5538677429223693
191,-3.5547415518072603
192,-3.599153569647776
193,-3.5813017184593456
194,-3.5835217936925683
195,-3.6090314666420618
196,-3.617123748021957
197,-3.627640842934652
198,-3.623057583850863
199,-3.6474455759642113
200,-3.626774588450096
201,-3.6107958596504433
202,-3.620573199066547
203,-3.6286562485686447
204,-3.664365773677188
205,-3.6771267849056066
206,-3.6766438608876904
207,-3.6807556909953467
208,-3.6522974441394145
209,-3.642892965509891
210,-3.6432364985228207
211,-3.6375055070645637
212,-3.640935950413293
213,-3.6666520824152564
214,-3.64885649100476
215,-3.644840226410376
216,-3.6141956751083204
217,-3.608809699944156
218,-3.603535590207774
219,-3.591930839801813
220,-3.592815568624464
221,-3.5781110988772458
222,-3.585003393067586
223,-3.5986861523504983
224,-3.591943378359801
225,-3.6291886648861476
226,-3.622326655646383
227,-3.638859558285768
228,-3.644742323126936
229,-3.650983786342447
230,-3.6399182530213556
231,-3.6211909884717617
232,-3.582160427347089
233,-3.5997861374798505
234,-3.600022312206655
235,-3.561455337868862
236,-3.55620805947683
237,-3.5737707785445965
238,-3.555880101370547
239,-3.551552541650712
240,-3.548718117613003
241,-3.549464081509147
242,-3.5396061693214307
243,-3.5197794348485227
244,-3.522973884729136
245,-3.5571027905780666
246,-3.5397079682401125
247,-3.5425456597984386
248,-3.5295570477663474
249,-3.506988943138539
250,-3.5194771977578774
251,-3.500350206127257
252,-3.5136229509790047
253,-3.5180341394435066
254,-3.556809518121919
255,-3.546970170081555
