,0
0,-8.018328489872864
1,-5.568530958134823
2,-5.071959743686627
3,-4.5339626288717225
4,-4.263058415772076
5,-3.8793176635843203
6,-3.70463141767441
7,-3.5336791204265503
8,-3.4009740571722085
9,-3.5274574128527356
10,-3.6203131692289077
11,-3.5241498072137976
12,-3.5405645733096827
13,-3.494330564366617
14,-3.4953548527184983
15,-3.576597434335558
16,-3.48128063679626
17,-3.5020151483821955
18,-3.441436703075108
19,-3.4674573102548925
20,-3.4208584942545377
21,-3.4619921119215835
22,-3.4332591159059485
23,-3.5144452617676474
24,-3.5077669510324556
25,-3.492646920962453
26,-3.493920561761762
27,-3.518257203236691
28,-3.5124446321734086
29,-3.528068276462025
30,-3.567648357638319
31,-3.546224836519514
32,-3.5089441942014723
33,-3.5853762100345854
34,-3.6162788391558935
35,-3.6150153101344578
36,-3.66288324474664
37,-3.6506847490856424
38,-3.640873221169053
39,-3.6651510373160674
40,-3.669878056503474
41,-3.653293335346293
42,-3.6515132174017086
43,-3.6967872216324724
44,-3.7425374002213094
45,-3.7049765010846447
46,-3.670398267340459
47,-3.6522628112725877
48,-3.6200262768665863
49,-3.6586794299197174
50,-3.6764162512390315
51,-3.6397754109750284
52,-3.6213401565281167
53,-3.6525847253863537
54,-3.6301680588373757
55,-3.5854797563503165
56,-3.5670567682944507
57,-3.5560805828786677
58,-3.5696492543507286
59,-3.5556654962023786
60,-3.5871320597548992
61,-3.613060677651884
62,-3.588727356832389
63,-3.580443375207171
64,-3.6193847727974813
65,-3.6243598873481284
66,-3.6047589737272934
67,-3.598836018525379
68,-3.5765218160681367
69,-3.6221088212263863
70,-3.621802102928609
71,-3.599134839011251
72,-3.625249726331172
73,-3.6076643636160393
74,-3.595733655598092
75,-3.591735127196705
76,-3.60731135046879
77,-3.5968733137525337
78,-3.60562891667301
79,-3.6106850531952888
80,-3.635793379838426
81,-3.6366954466359633
82,-3.6412473114311763
83,-3.650626391248357
84,-3.6713678604750344
85,-3.666227199391141
86,-3.677169336262354
87,-3.6778089178323925
88,-3.7181747462685153
89,-3.7105405490906396
90,-3.7011947729859864
91,-3.6854758032997683
92,-3.6817062938092007
93,-3.69965522735518
94,-3.681920151899369
95,-3.6753530775155436
96,-3.6512997827219036
97,-3.6296639658390477
98,-3.6399354480381705
99,-3.6428935042018242
100,-3.6018925422534873
101,-3.61395244641766
102,-3.60038309257031
103,-3.619279042926996
104,-3.618945183111912
105,-3.618525815286826
106,-3.6172408058820413
107,-3.615325091726177
108,-3.6357028062864885
109,-3.634453482075934
110,-3.618800478585686
111,-3.6254152752660915
112,-3.641272630574902
113,-3.6454220995603355
114,-3.6571974340479523
