,0
0,-8.018328489872864
1,-5.5685347117052375
2,-5.07195935237565
3,-4.533959461064863
4,-4.263003029905143
5,-3.879436653649171
6,-3.7047546968624223
7,-3.5336191782410564
8,-3.400909648961459
9,-3.527350971649271
10,-3.6202546727651836
11,-3.5240982301201824
12,-3.5404655614771112
13,-3.4942202608898802
14,-3.4952408922721654
15,-3.5765583902697267
16,-3.4812611690091053
17,-3.501981812967236
18,-3.4413746628458686
19,-3.4673681960503338
20,-3.420692218110044
21,-3.4618243389149828
22,-3.433118524481999
23,-3.5145245565197905
24,-3.5198284403078146
25,-3.5097846569558087
26,-3.4556677470378
27,-3.4447798866024084
28,-3.510781312754967
29,-3.4686047446344532
30,-3.500505432178529
31,-3.492617222163063
32,-3.485171922071796
33,-3.5113422757010864
34,-3.497305324828453
35,-3.462184476914555
36,-3.473692567324111
37,-3.457988779675717
38,-3.4993974952643563
39,-3.545745503266109
40,-3.5489342036364055
41,-3.534580992542118
42,-3.5229288444491624
43,-3.534455628161152
44,-3.5346044774562264
45,-3.5302156562801428
46,-3.487261281643673
47,-3.4910930795973414
48,-3.500815277052707
49,-3.5385204884065597
50,-3.531150651716383
51,-3.526064498567642
52,-3.530539516611138
53,-3.5291275227151213
54,-3.5229420061480745
55,-3.4916630875042522
56,-3.4889246331628705
57,-3.492562105894411
58,-3.4815298969730857
59,-3.496292800997778
60,-3.5344015364556642
61,-3.5431551136761392
62,-3.5485685728405367
63,-3.5252140334346738
64,-3.5272965362953044
65,-3.5219757479387788
66,-3.5332293367530148
67,-3.559100895231246
68,-3.5671933594042105
69,-3.6402730259387672
70,-3.6701714475631886
71,-3.658527129240688
72,-3.7173429158956868
73,-3.7074087250827774
74,-3.6948176508064225
75,-3.6670856280009794
76,-3.673846499487683
77,-3.679837991247034
78,-3.6698923065210827
79,-3.6742744585439473
80,-3.687889541446134
81,-3.671063513276031
82,-3.659185436595379
83,-3.644936326377434
84,-3.670447641467038
85,-3.65718026786041
86,-3.6523945641955526
87,-3.657092252993205
88,-3.6984513222956354
89,-3.690906999226989
90,-3.6954450502225944
91,-3.67391472544276
92,-3.6576559647226867
93,-3.6441003498911817
94,-3.633670362264833
95,-3.630633660399282
96,-3.6212212133232575
97,-3.5970723243748974
98,-3.625287995957529
99,-3.620697821250865
100,-3.5785936863642904
101,-3.573223498022008
102,-3.558742805185811
103,-3.5573265153717535
104,-3.5596667767301695
105,-3.578165784072666
106,-3.580512920518639
107,-3.6110586088366596
108,-3.6502810399595442
109,-3.6479501649697266
110,-3.626747722204623
111,-3.640097836918827
112,-3.6366011473876085
113,-3.6563974178683525
114,-3.68035762884848
115,-3.67057957821299
116,-3.700510188555461
117,-3.7256969945870724
118,-3.7315307908611985
119,-3.7602300886263147
120,-3.769803729576604
121,-3.7511513896500137
122,-3.7552877591822607
123,-3.732385436022146
124,-3.735112069433928
125,-3.733871975169716
126,-3.7515004279304947
127,-3.752721145684443
128,-3.732984971111764
129,-3.7362818702294227
130,-3.7302203942826755
131,-3.737147059652888
132,-3.756067627843832
133,-3.7423432548121083
134,-3.7669461507327453
135,-3.784006502759096
136,-3.7822855873873156
137,-3.8072873246318166
138,-3.780169934436193
139,-3.7648446857283773
140,-3.754610065737641
141,-3.7627812707360113
142,-3.7890474831157666
143,-3.8079123090675346
144,-3.802092645443418
145,-3.785584066873736
146,-3.8348186859149296
147,-3.832928637315707
148,-3.8339389213849806
149,-3.8107824074491656
150,-3.8199008062479636
151,-3.81331065052698
152,-3.80593360394743
153,-3.7993852137440856
154,-3.801343251089025
155,-3.8305435656884033
156,-3.8401746160773667
157,-3.8291725451644236
158,-3.844847059919167
159,-3.85196059448266
160,-3.826698711489349
161,-3.804277492642587
162,-3.7938255312042015
163,-3.806979221915218
164,-3.809343576101386
165,-3.810976332267113
166,-3.8356668692334965
167,-3.825034553830821
168,-3.856391846600136
169,-3.8247265324520625
170,-3.8020217989985245
171,-3.821899040187045
172,-3.7939589175606288
173,-3.8062935834136806
174,-3.8288543878632493
175,-3.8436450185972357
176,-3.836300899024761
177,-3.834875778368038
178,-3.829265962980371
179,-3.8105301419216375
180,-3.7988120199927464
181,-3.832258674777845
182,-3.824575627637339
183,-3.8281946597311127
184,-3.8109072794064405
185,-3.814501541276024
186,-3.820843515349161
187,-3.8257873408182985
188,-3.766425922940536
189,-3.748416863119928
190,-3.743879215076464
191,-3.752315013053052
192,-3.7838329977309866
193,-3.8073808486675342
194,-3.816000981680079
195,-3.866590508228478
196,-3.8814277411632703
197,-3.910477322267387
198,-3.8771954586782424
199,-3.8791681041032837
200,-3.872240235609049
201,-3.883075085552081
202,-3.8926058794700644
203,-3.900569011239357
204,-3.9090071014707757
205,-3.9021663595908205
206,-3.9032892790530473
207,-3.8788660675373525
208,-3.8563015646666314
209,-3.850449933521304
210,-3.871218341034006
211,-3.8812427938264507
212,-3.865893953019102
213,-3.873402743546217
214,-3.8491417601060935
215,-3.8565126611120633
216,-3.829162717703107
217,-3.8047219463866213
218,-3.7980138219129636
219,-3.7494701661851457
220,-3.743798585692537
221,-3.7442656856956495
222,-3.757723459397839
223,-3.756942165264506
224,-3.7527685664850106
225,-3.741077627190356
226,-3.745133358076597
227,-3.745349275984801
228,-3.7509970057587108
229,-3.780973040359365
230,-3.79416459751775
231,-3.7787627016796406
232,-3.7619463011532606
233,-3.766430183902486
234,-3.7518018764760375
235,-3.7318061884662797
236,-3.719630944213356
237,-3.6911299170999428
238,-3.702724216303099
239,-3.7140733603724065
240,-3.7222420885811296
241,-3.7103462903072426
242,-3.6985700083262922
243,-3.692920450818247
244,-3.699103534533532
245,-3.705427633129399
246,-3.6928741721537666
247,-3.6883986240747864
248,-3.687024292115689
249,-3.6834045857667403
250,-3.6784851137121564
251,-3.6868700668965686
252,-3.686680048066033
253,-3.700693381699787
254,-3.7230960042970698
255,-3.7094132645843687
256,-3.708996248424751
257,-3.7175145284310043
